calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,5.81726,pm25
1.0,2018-08-07 05:00:00,10.4579,pm25
1.0,2018-08-07 06:00:00,10.4449,pm25
1.0,2018-08-07 07:00:00,9.28333,pm25
1.0,2018-08-07 08:00:00,16.3892,pm25
1.0,2018-08-07 09:00:00,13.0079,pm25
1.0,2018-08-07 10:00:00,11.9642,pm25
1.0,2018-08-07 11:00:00,12.0752,pm25
1.0,2018-08-07 12:00:00,7.292489999999999,pm25
1.0,2018-08-07 13:00:00,2.4358,pm25
1.0,2018-08-07 14:00:00,1.22048,pm25
1.0,2018-08-07 15:00:00,4.8948,pm25
1.0,2018-08-07 16:00:00,2.440869999999999,pm25
1.0,2018-08-07 17:00:00,2.43203,pm25
1.0,2018-08-07 18:00:00,7.247139999999999,pm25
1.0,2018-08-07 19:00:00,19.1711,pm25
1.0,2018-08-07 20:00:00,19.0053,pm25
2.3,2018-08-07 21:00:00,23.6075,pm25
1.0,2018-08-07 22:00:00,18.8319,pm25
1.0,2018-08-07 23:00:00,19.958,pm25
1.0,2018-08-08 00:00:00,16.3949,pm25
1.0,2018-08-08 01:00:00,15.1995,pm25
2.3,2018-08-08 02:00:00,22.1751,pm25
1.0,2018-08-08 03:00:00,17.4747,pm25
1.0,2018-08-08 04:00:00,20.9337,pm25
1.0,2018-08-08 05:00:00,19.7445,pm25
1.0,2018-08-08 06:00:00,23.1999,pm25
1.0,2018-08-08 07:00:00,24.3437,pm25
1.0,2018-08-08 08:00:00,25.6983,pm25
1.0,2018-08-08 09:00:00,33.0842,pm25
1.0,2018-08-08 10:00:00,20.3272,pm25
1.0,2018-08-08 11:00:00,14.4329,pm25
1.0,2018-08-08 12:00:00,2.42234,pm25
1.0,2018-08-08 13:00:00,3.65116,pm25
3.0,2018-08-08 14:00:00,0.0,pm25
1.0,2018-08-08 15:00:00,4.88686,pm25
1.0,2018-08-08 16:00:00,4.879459999999999,pm25
1.0,2018-08-08 17:00:00,12.189,pm25
1.0,2018-08-08 18:00:00,10.9029,pm25
1.0,2018-08-08 19:00:00,22.7597,pm25
2.3,2018-08-08 20:00:00,38.148,pm25
2.3,2018-08-08 21:00:00,30.8412,pm25
1.0,2018-08-08 22:00:00,22.4591,pm25
1.0,2018-08-08 23:00:00,22.3868,pm25
1.0,2018-08-09 00:00:00,23.5497,pm25
2.3,2018-08-09 01:00:00,25.8769,pm25
1.0,2018-08-09 02:00:00,21.1447,pm25
1.0,2018-08-09 03:00:00,15.23,pm25
1.0,2018-08-09 04:00:00,14.0251,pm25
1.0,2018-08-09 05:00:00,11.6646,pm25
1.0,2018-08-09 06:00:00,16.3016,pm25
1.0,2018-08-09 07:00:00,8.16218,pm25
1.0,2018-08-09 08:00:00,23.4847,pm25
1.0,2018-08-09 09:00:00,24.9593,pm25
1.0,2018-08-09 10:00:00,15.6264,pm25
1.0,2018-08-09 11:00:00,4.83131,pm25
1.0,2018-08-09 12:00:00,6.06712,pm25
1.0,2018-08-09 13:00:00,6.070199999999999,pm25
1.0,2018-08-09 15:00:00,7.29584,pm25
1.0,2018-08-09 16:00:00,2.42952,pm25
1.0,2018-08-09 17:00:00,8.49318,pm25
1.0,2018-08-09 18:00:00,7.2233,pm25
1.0,2018-08-09 19:00:00,11.9151,pm25
1.0,2018-08-09 20:00:00,14.201,pm25
1.0,2018-08-09 21:00:00,20.0042,pm25
1.0,2018-08-09 22:00:00,21.0996,pm25
1.0,2018-08-09 23:00:00,18.6801,pm25
1.0,2018-08-10 00:00:00,18.6526,pm25
1.0,2018-08-10 01:00:00,25.6094,pm25
1.0,2018-08-10 02:00:00,18.5935,pm25
1.0,2018-08-10 03:00:00,20.8979,pm25
1.0,2018-08-10 04:00:00,19.7181,pm25
1.0,2018-08-10 05:00:00,18.5445,pm25
1.0,2018-08-10 06:00:00,21.9907,pm25
1.0,2018-08-10 07:00:00,19.6836,pm25
1.0,2018-08-10 08:00:00,33.6233,pm25
1.0,2018-08-10 09:00:00,35.0875,pm25
1.0,2018-08-10 10:00:00,28.5704,pm25
1.0,2018-08-10 11:00:00,7.219159999999999,pm25
1.0,2018-08-10 12:00:00,4.830809999999999,pm25
1.0,2018-08-10 13:00:00,6.06364,pm25
1.0,2018-08-10 14:00:00,2.42409,pm25
1.0,2018-08-10 15:00:00,6.070979999999999,pm25
1.0,2018-08-10 16:00:00,8.49693,pm25
1.0,2018-08-10 17:00:00,7.2709,pm25
1.0,2018-08-10 18:00:00,10.8259,pm25
1.0,2018-08-10 19:00:00,11.8868,pm25
1.0,2018-08-10 20:00:00,12.9729,pm25
1.0,2018-08-10 21:00:00,18.7557,pm25
1.0,2018-08-10 22:00:00,26.8314,pm25
1.0,2018-08-10 23:00:00,27.9474,pm25
1.0,2018-08-11 00:00:00,26.722,pm25
1.0,2018-08-11 01:00:00,24.3506,pm25
1.0,2018-08-11 02:00:00,22.0285,pm25
1.0,2018-08-11 03:00:00,24.3231,pm25
1.0,2018-08-11 04:00:00,20.8336,pm25
1.0,2018-08-11 05:00:00,30.0674,pm25
1.0,2018-08-11 06:00:00,27.7162,pm25
1.0,2018-08-11 07:00:00,28.8615,pm25
1.0,2018-08-11 08:00:00,42.0313,pm25
1.0,2018-08-11 09:00:00,22.4572,pm25
1.0,2018-08-11 10:00:00,15.5508,pm25
1.0,2018-08-11 11:00:00,9.63857,pm25
1.0,2018-08-11 12:00:00,6.044299999999999,pm25
1.0,2018-08-11 13:00:00,7.293169999999999,pm25
1.0,2018-08-11 14:00:00,8.516,pm25
1.0,2018-08-11 15:00:00,6.093049999999999,pm25
1.0,2018-08-11 16:00:00,3.66323,pm25
1.0,2018-08-11 17:00:00,6.09679,pm25
1.0,2018-08-11 18:00:00,13.3436,pm25
1.0,2018-08-11 19:00:00,9.56355,pm25
1.0,2018-08-11 20:00:00,13.0554,pm25
1.0,2018-08-11 21:00:00,14.1627,pm25
1.0,2018-08-11 22:00:00,17.6567,pm25
1.0,2018-08-11 23:00:00,21.1595,pm25
1.0,2018-08-12 00:00:00,21.1519,pm25
1.0,2018-08-12 01:00:00,16.4163,pm25
1.0,2018-08-12 02:00:00,23.4252,pm25
1.0,2018-08-12 03:00:00,19.8927,pm25
1.0,2018-08-12 04:00:00,22.2365,pm25
1.0,2018-08-12 05:00:00,22.175,pm25
1.0,2018-08-12 06:00:00,9.30633,pm25
1.0,2018-08-12 07:00:00,12.8041,pm25
1.0,2018-08-12 08:00:00,12.9119,pm25
1.0,2018-08-12 09:00:00,15.4552,pm25
1.0,2018-08-12 10:00:00,13.1761,pm25
1.0,2018-08-12 11:00:00,13.2092,pm25
1.0,2018-08-12 12:00:00,8.41187,pm25
1.0,2018-08-12 13:00:00,9.68503,pm25
1.0,2018-08-12 14:00:00,6.080059999999999,pm25
