calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,10.6097,pm25
1.0,2018-08-07 05:00:00,7.062649999999999,pm25
1.0,2018-08-07 06:00:00,9.40708,pm25
1.0,2018-08-07 07:00:00,3.535,pm25
1.0,2018-08-07 08:00:00,24.9957,pm25
1.0,2018-08-07 09:00:00,18.0254,pm25
1.0,2018-08-07 10:00:00,23.0635,pm25
1.0,2018-08-07 11:00:00,14.6859,pm25
1.0,2018-08-07 12:00:00,9.84141,pm25
1.0,2018-08-07 13:00:00,11.0777,pm25
1.0,2018-08-07 14:00:00,6.168129999999999,pm25
1.0,2018-08-07 15:00:00,8.66562,pm25
1.0,2018-08-07 16:00:00,13.6092,pm25
1.0,2018-08-07 17:00:00,4.92096,pm25
1.0,2018-08-07 18:00:00,12.2301,pm25
1.0,2018-08-07 19:00:00,7.282639999999999,pm25
1.0,2018-08-07 20:00:00,19.2795,pm25
1.0,2018-08-07 21:00:00,21.5855,pm25
1.0,2018-08-07 22:00:00,23.9323,pm25
1.0,2018-08-07 23:00:00,21.4816,pm25
1.0,2018-08-08 00:00:00,23.7705,pm25
1.0,2018-08-08 01:00:00,13.0453,pm25
1.0,2018-08-08 02:00:00,15.38,pm25
1.0,2018-08-08 03:00:00,10.6356,pm25
1.0,2018-08-08 04:00:00,16.5215,pm25
1.0,2018-08-08 05:00:00,14.1433,pm25
1.0,2018-08-08 06:00:00,15.295,pm25
1.0,2018-08-08 07:00:00,21.224,pm25
1.0,2018-08-08 08:00:00,34.5371,pm25
1.0,2018-08-08 09:00:00,22.8325,pm25
1.0,2018-08-08 10:00:00,30.328,pm25
1.0,2018-08-08 11:00:00,23.2024,pm25
1.0,2018-08-08 12:00:00,12.2672,pm25
1.0,2018-08-08 13:00:00,9.82353,pm25
1.0,2018-08-08 14:00:00,9.85326,pm25
1.0,2018-08-08 15:00:00,11.0863,pm25
1.0,2018-08-08 16:00:00,4.92884,pm25
1.0,2018-08-08 17:00:00,12.3003,pm25
1.0,2018-08-08 18:00:00,14.6705,pm25
1.0,2018-08-08 19:00:00,14.5702,pm25
1.0,2018-08-08 20:00:00,32.6125,pm25
2.3,2018-08-08 21:00:00,43.2603,pm25
1.0,2018-08-08 22:00:00,27.5558,pm25
1.0,2018-08-08 23:00:00,26.278,pm25
1.0,2018-08-09 00:00:00,27.4198,pm25
1.0,2018-08-09 01:00:00,20.2789,pm25
1.0,2018-08-09 02:00:00,21.4462,pm25
1.0,2018-08-09 03:00:00,11.901,pm25
1.0,2018-08-09 04:00:00,9.49866,pm25
1.0,2018-08-09 05:00:00,9.48606,pm25
1.0,2018-08-09 06:00:00,15.3676,pm25
1.0,2018-08-09 07:00:00,20.1387,pm25
1.0,2018-08-09 08:00:00,15.5084,pm25
1.0,2018-08-09 09:00:00,18.0639,pm25
1.0,2018-08-09 10:00:00,13.357,pm25
1.0,2018-08-09 11:00:00,10.9945,pm25
1.0,2018-08-09 12:00:00,9.80712,pm25
1.0,2018-08-09 13:00:00,8.60693,pm25
1.0,2018-08-09 14:00:00,13.5184,pm25
1.0,2018-08-09 15:00:00,6.13886,pm25
1.0,2018-08-09 16:00:00,13.4823,pm25
1.0,2018-08-09 17:00:00,12.2227,pm25
1.0,2018-08-09 18:00:00,7.29492,pm25
1.0,2018-08-09 19:00:00,26.5771,pm25
1.0,2018-08-09 20:00:00,25.2222,pm25
1.0,2018-08-09 21:00:00,35.9152,pm25
1.0,2018-08-09 22:00:00,31.0284,pm25
1.0,2018-08-09 23:00:00,24.9492,pm25
1.0,2018-08-10 00:00:00,24.8829,pm25
1.0,2018-08-10 01:00:00,22.4751,pm25
1.0,2018-08-10 02:00:00,20.068,pm25
1.0,2018-08-10 03:00:00,11.8161,pm25
1.0,2018-08-10 04:00:00,17.6929,pm25
1.0,2018-08-10 05:00:00,11.7772,pm25
1.0,2018-08-10 06:00:00,24.6937,pm25
1.0,2018-08-10 07:00:00,19.9849,pm25
1.0,2018-08-10 08:00:00,27.2765,pm25
1.0,2018-08-10 09:00:00,34.726,pm25
1.0,2018-08-10 10:00:00,18.0994,pm25
1.0,2018-08-10 11:00:00,8.50338,pm25
1.0,2018-08-10 12:00:00,2.43887,pm25
1.0,2018-08-10 13:00:00,12.229,pm25
1.0,2018-08-10 14:00:00,8.565739999999998,pm25
1.0,2018-08-10 15:00:00,11.0394,pm25
1.0,2018-08-10 16:00:00,12.2723,pm25
1.0,2018-08-10 17:00:00,13.4939,pm25
1.0,2018-08-10 18:00:00,14.6159,pm25
1.0,2018-08-10 19:00:00,15.7162,pm25
1.0,2018-08-10 20:00:00,22.8001,pm25
1.0,2018-08-10 21:00:00,30.9923,pm25
1.0,2018-08-10 22:00:00,29.7066,pm25
1.0,2018-08-10 23:00:00,22.4906,pm25
1.0,2018-08-11 00:00:00,23.6066,pm25
1.0,2018-08-11 01:00:00,30.6684,pm25
1.0,2018-08-11 02:00:00,15.3033,pm25
2.3,2018-08-11 03:00:00,24.6702,pm25
1.0,2018-08-11 04:00:00,14.0924,pm25
1.0,2018-08-11 05:00:00,12.903,pm25
1.0,2018-08-11 06:00:00,15.2305,pm25
1.0,2018-08-11 07:00:00,22.3372,pm25
1.0,2018-08-11 08:00:00,29.703,pm25
1.0,2018-08-11 09:00:00,25.1879,pm25
1.0,2018-08-11 10:00:00,18.1182,pm25
1.0,2018-08-11 11:00:00,15.8028,pm25
1.0,2018-08-11 12:00:00,10.9985,pm25
1.0,2018-08-11 13:00:00,15.9145,pm25
