calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,18.0361,pm25
1.0,2018-08-07 05:00:00,26.5424,pm25
1.0,2018-08-07 06:00:00,24.0937,pm25
1.0,2018-08-07 07:00:00,21.6588,pm25
1.0,2018-08-07 08:00:00,20.624,pm25
1.0,2018-08-07 09:00:00,20.8552,pm25
1.0,2018-08-07 10:00:00,20.9946,pm25
1.0,2018-08-07 11:00:00,12.4683,pm25
1.0,2018-08-07 12:00:00,13.801,pm25
3.3,2018-08-07 15:00:00,10.0998,pm25
1.0,2018-08-07 16:00:00,11.3663,pm25
1.0,2018-08-07 17:00:00,6.305559999999999,pm25
1.0,2018-08-07 18:00:00,10.0285,pm25
1.0,2018-08-07 19:00:00,12.4138,pm25
1.0,2018-08-07 20:00:00,14.7774,pm25
1.0,2018-08-07 21:00:00,15.9935,pm25
1.0,2018-08-07 22:00:00,20.7662,pm25
1.0,2018-08-07 23:00:00,24.5109,pm25
1.0,2018-08-08 00:00:00,30.4777,pm25
1.0,2018-08-08 01:00:00,16.9589,pm25
1.0,2018-08-08 02:00:00,8.44998,pm25
1.0,2018-08-08 03:00:00,15.6783,pm25
1.0,2018-08-08 04:00:00,14.4435,pm25
1.0,2018-08-08 05:00:00,18.036,pm25
1.0,2018-08-08 06:00:00,25.2298,pm25
1.0,2018-08-08 07:00:00,37.2655,pm25
1.0,2018-08-08 08:00:00,35.199,pm25
1.0,2018-08-08 09:00:00,25.7701,pm25
1.0,2018-08-08 10:00:00,30.8896,pm25
1.0,2018-08-08 11:00:00,9.97065,pm25
1.0,2018-08-08 12:00:00,10.0402,pm25
1.0,2018-08-08 13:00:00,10.057,pm25
1.0,2018-08-08 14:00:00,7.56721,pm25
1.0,2018-08-08 15:00:00,7.55998,pm25
1.0,2018-08-08 16:00:00,16.3738,pm25
1.0,2018-08-08 17:00:00,8.81094,pm25
1.0,2018-08-08 18:00:00,18.8208,pm25
1.0,2018-08-08 19:00:00,18.6469,pm25
1.0,2018-08-08 20:00:00,19.7951,pm25
1.0,2018-08-08 21:00:00,29.8716,pm25
1.0,2018-08-08 22:00:00,21.0885,pm25
1.0,2018-08-08 23:00:00,20.8943,pm25
1.0,2018-08-09 00:00:00,16.0301,pm25
1.0,2018-08-09 01:00:00,12.2954,pm25
1.0,2018-08-09 02:00:00,12.2849,pm25
1.0,2018-08-09 03:00:00,12.2217,pm25
1.0,2018-08-09 04:00:00,15.7945,pm25
1.0,2018-08-09 05:00:00,20.6752,pm25
1.0,2018-08-09 06:00:00,20.6745,pm25
1.0,2018-08-09 07:00:00,29.1178,pm25
1.0,2018-08-09 08:00:00,20.7617,pm25
1.0,2018-08-09 09:00:00,24.561,pm25
1.0,2018-08-09 10:00:00,19.7836,pm25
1.0,2018-08-09 11:00:00,13.6817,pm25
1.0,2018-08-09 12:00:00,8.74456,pm25
1.0,2018-08-09 13:00:00,8.77579,pm25
1.0,2018-08-09 14:00:00,10.0646,pm25
1.0,2018-08-09 15:00:00,5.04209,pm25
1.0,2018-08-09 16:00:00,7.543249999999999,pm25
1.0,2018-08-09 17:00:00,12.5364,pm25
1.0,2018-08-09 18:00:00,13.7251,pm25
1.0,2018-08-09 19:00:00,4.96537,pm25
1.0,2018-08-09 20:00:00,14.8275,pm25
1.0,2018-08-09 21:00:00,23.3644,pm25
1.0,2018-08-09 22:00:00,25.7529,pm25
1.0,2018-08-09 23:00:00,20.7639,pm25
1.0,2018-08-10 00:00:00,14.5499,pm25
1.0,2018-08-10 01:00:00,19.4535,pm25
1.0,2018-08-10 02:00:00,23.1113,pm25
2.3,2018-08-10 03:00:00,32.7659,pm25
1.0,2018-08-10 04:00:00,19.3154,pm25
1.0,2018-08-10 05:00:00,20.4563,pm25
1.0,2018-08-10 06:00:00,27.6084,pm25
1.0,2018-08-10 07:00:00,34.8439,pm25
1.0,2018-08-10 08:00:00,32.7176,pm25
1.0,2018-08-10 09:00:00,29.3858,pm25
1.0,2018-08-10 10:00:00,19.7601,pm25
1.0,2018-08-10 11:00:00,14.9455,pm25
1.0,2018-08-10 12:00:00,8.76572,pm25
1.0,2018-08-10 13:00:00,6.28896,pm25
1.0,2018-08-10 14:00:00,5.04466,pm25
3.3,2018-08-10 16:00:00,10.0949,pm25
1.0,2018-08-10 17:00:00,15.1239,pm25
1.0,2018-08-10 18:00:00,17.5339,pm25
1.0,2018-08-10 19:00:00,21.0216,pm25
1.0,2018-08-10 20:00:00,23.3202,pm25
1.0,2018-08-10 21:00:00,25.6762,pm25
1.0,2018-08-10 22:00:00,29.1008,pm25
1.0,2018-08-10 23:00:00,24.1737,pm25
1.0,2018-08-11 00:00:00,26.5333,pm25
1.0,2018-08-11 01:00:00,22.8896,pm25
1.0,2018-08-11 02:00:00,27.6958,pm25
1.0,2018-08-11 03:00:00,38.5674,pm25
1.0,2018-08-11 04:00:00,27.6278,pm25
1.0,2018-08-11 05:00:00,23.951,pm25
1.0,2018-08-11 06:00:00,32.2925,pm25
1.0,2018-08-11 07:00:00,38.3166,pm25
1.0,2018-08-11 08:00:00,35.1569,pm25
1.0,2018-08-11 09:00:00,28.1372,pm25
1.0,2018-08-11 10:00:00,28.3271,pm25
1.0,2018-08-11 11:00:00,14.9322,pm25
1.0,2018-08-11 12:00:00,18.7902,pm25
1.0,2018-08-11 13:00:00,3.76106,pm25
1.0,2018-08-11 14:00:00,8.80601,pm25
1.0,2018-08-11 15:00:00,6.30067,pm25
1.0,2018-08-11 16:00:00,7.56447,pm25
1.0,2018-08-11 17:00:00,6.29926,pm25
1.0,2018-08-11 18:00:00,12.5439,pm25
1.0,2018-08-11 19:00:00,14.8935,pm25
1.0,2018-08-11 20:00:00,9.81234,pm25
1.0,2018-08-11 21:00:00,10.9856,pm25
1.0,2018-08-11 22:00:00,25.5912,pm25
2.3,2018-08-11 23:00:00,37.8728,pm25
1.0,2018-08-12 00:00:00,32.9581,pm25
1.0,2018-08-12 01:00:00,25.6012,pm25
1.0,2018-08-12 02:00:00,34.0632,pm25
1.0,2018-08-12 03:00:00,24.2547,pm25
1.0,2018-08-12 04:00:00,21.7766,pm25
1.0,2018-08-12 05:00:00,30.365,pm25
1.0,2018-08-12 06:00:00,19.3739,pm25
1.0,2018-08-12 07:00:00,19.2987,pm25
1.0,2018-08-12 08:00:00,19.4277,pm25
1.0,2018-08-12 09:00:00,22.093,pm25
1.0,2018-08-12 10:00:00,22.2152,pm25
1.0,2018-08-12 11:00:00,17.4085,pm25
1.0,2018-08-12 12:00:00,7.498199999999999,pm25
1.0,2018-08-12 13:00:00,6.229969999999999,pm25
1.0,2018-08-12 14:00:00,8.74536,pm25
1.0,2018-08-12 15:00:00,6.25628,pm25
1.0,2018-08-12 16:00:00,6.271309999999999,pm25
1.0,2018-08-12 17:00:00,11.2998,pm25
1.0,2018-08-12 18:00:00,9.98389,pm25
1.0,2018-08-12 19:00:00,17.3694,pm25
1.0,2018-08-12 20:00:00,22.238,pm25
1.0,2018-08-12 21:00:00,23.3646,pm25
1.0,2018-08-12 22:00:00,20.7544,pm25
1.0,2018-08-12 23:00:00,20.718,pm25
1.0,2018-08-13 00:00:00,19.5065,pm25
1.0,2018-08-13 01:00:00,23.1749,pm25
1.0,2018-08-13 02:00:00,23.1951,pm25
1.0,2018-08-13 03:00:00,25.6173,pm25
1.0,2018-08-13 04:00:00,26.8186,pm25
1.0,2018-08-13 05:00:00,23.1122,pm25
1.0,2018-08-13 06:00:00,24.3247,pm25
1.0,2018-08-13 07:00:00,24.3329,pm25
1.0,2018-08-13 08:00:00,23.2495,pm25
1.0,2018-08-13 09:00:00,23.3772,pm25
1.0,2018-08-13 10:00:00,23.529,pm25
1.0,2018-08-13 11:00:00,22.3703,pm25
1.0,2018-08-13 12:00:00,14.9569,pm25
1.0,2018-08-13 13:00:00,16.2319,pm25
2.3,2018-08-13 14:00:00,22.4869,pm25
1.0,2018-08-13 15:00:00,23.8039,pm25
1.0,2018-08-13 16:00:00,13.861,pm25
1.0,2018-08-13 17:00:00,31.3974,pm25
1.0,2018-08-13 18:00:00,23.7158,pm25
1.0,2018-08-13 19:00:00,16.1453,pm25
1.0,2018-08-13 20:00:00,8.62698,pm25
1.0,2018-08-13 21:00:00,11.0339,pm25
1.0,2018-08-13 22:00:00,8.5535,pm25
1.0,2018-08-13 23:00:00,7.30166,pm25
1.0,2018-08-14 00:00:00,2.42347,pm25
1.0,2018-08-14 01:00:00,13.315,pm25
1.0,2018-08-14 02:00:00,9.66216,pm25
1.0,2018-08-14 03:00:00,19.3381,pm25
1.0,2018-08-14 04:00:00,22.9534,pm25
1.0,2018-08-14 05:00:00,13.2946,pm25
1.0,2018-08-14 06:00:00,14.4924,pm25
1.0,2018-08-14 07:00:00,9.66219,pm25
1.0,2018-08-14 08:00:00,25.3738,pm25
1.0,2018-08-14 09:00:00,33.9703,pm25
1.0,2018-08-14 10:00:00,35.4464,pm25
1.0,2018-08-14 11:00:00,29.4148,pm25
1.0,2018-08-14 12:00:00,24.5164,pm25
2.3,2018-08-14 13:00:00,40.3112,pm25
2.3,2018-08-14 14:00:00,37.8595,pm25
1.0,2018-08-14 15:00:00,45.2587,pm25
2.3,2018-08-14 16:00:00,35.6133,pm25
