calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,14.1833,pm25
1.0,2018-08-07 05:00:00,12.9669,pm25
1.0,2018-08-07 06:00:00,15.2917,pm25
1.0,2018-08-07 07:00:00,9.39683,pm25
1.0,2018-08-07 08:00:00,3.55586,pm25
1.0,2018-08-07 09:00:00,14.3848,pm25
1.0,2018-08-07 10:00:00,7.26524,pm25
1.0,2018-08-07 11:00:00,1.22424,pm25
1.0,2018-08-07 12:00:00,1.22726,pm25
1.0,2018-08-07 13:00:00,1.22812,pm25
1.0,2018-08-07 14:00:00,3.69687,pm25
1.0,2018-08-07 16:00:00,6.17173,pm25
1.0,2018-08-07 17:00:00,3.68772,pm25
1.0,2018-08-07 18:00:00,8.54971,pm25
1.0,2018-08-07 19:00:00,13.3436,pm25
1.0,2018-08-07 20:00:00,10.8504,pm25
1.0,2018-08-07 21:00:00,15.5948,pm25
2.3,2018-08-07 22:00:00,19.1365,pm25
1.0,2018-08-07 23:00:00,21.4136,pm25
1.0,2018-08-08 00:00:00,18.9469,pm25
1.0,2018-08-08 01:00:00,27.2559,pm25
1.0,2018-08-08 02:00:00,26.015,pm25
1.0,2018-08-08 03:00:00,23.642,pm25
1.0,2018-08-08 04:00:00,21.2518,pm25
1.0,2018-08-08 05:00:00,18.82,pm25
1.0,2018-08-08 06:00:00,16.4184,pm25
1.0,2018-08-08 07:00:00,12.8938,pm25
1.0,2018-08-08 08:00:00,8.30032,pm25
1.0,2018-08-08 09:00:00,20.3477,pm25
1.0,2018-08-08 10:00:00,13.3094,pm25
1.0,2018-08-08 11:00:00,4.883619999999999,pm25
1.0,2018-08-08 12:00:00,3.67794,pm25
1.0,2018-08-08 13:00:00,3.6793,pm25
1.0,2018-08-08 15:00:00,1.23271,pm25
1.0,2018-08-08 16:00:00,2.463579999999999,pm25
1.0,2018-08-08 17:00:00,7.3779,pm25
1.0,2018-08-08 18:00:00,15.9275,pm25
1.0,2018-08-08 19:00:00,15.7704,pm25
2.3,2018-08-08 20:00:00,26.5559,pm25
2.3,2018-08-08 21:00:00,33.6024,pm25
2.3,2018-08-08 22:00:00,31.1172,pm25
1.0,2018-08-08 23:00:00,28.6588,pm25
1.0,2018-08-09 00:00:00,20.2444,pm25
1.0,2018-08-09 01:00:00,23.7969,pm25
1.0,2018-08-09 02:00:00,23.7866,pm25
1.0,2018-08-09 03:00:00,7.156769999999999,pm25
1.0,2018-08-09 04:00:00,8.30088,pm25
1.0,2018-08-09 05:00:00,7.09593,pm25
1.0,2018-08-09 06:00:00,16.5463,pm25
1.0,2018-08-09 07:00:00,10.6269,pm25
1.0,2018-08-09 08:00:00,14.2869,pm25
1.0,2018-08-09 09:00:00,19.2149,pm25
1.0,2018-08-09 10:00:00,12.138,pm25
3.0,2018-08-09 11:00:00,0.0,pm25
1.0,2018-08-09 12:00:00,6.11258,pm25
1.0,2018-08-09 14:00:00,3.681099999999999,pm25
1.0,2018-08-09 15:00:00,11.0515,pm25
1.0,2018-08-09 16:00:00,2.44736,pm25
1.0,2018-08-09 17:00:00,4.881,pm25
1.0,2018-08-09 18:00:00,9.72513,pm25
1.0,2018-08-09 19:00:00,15.6943,pm25
2.3,2018-08-09 20:00:00,32.3833,pm25
1.0,2018-08-09 21:00:00,25.0603,pm25
