calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,7.09987,pm25
1.0,2018-08-07 05:00:00,11.8202,pm25
1.0,2018-08-07 06:00:00,14.1693,pm25
1.0,2018-08-07 07:00:00,11.8185,pm25
1.0,2018-08-07 08:00:00,8.35619,pm25
1.0,2018-08-07 09:00:00,10.8502,pm25
1.0,2018-08-07 10:00:00,19.4632,pm25
1.0,2018-08-07 11:00:00,12.2868,pm25
1.0,2018-08-07 12:00:00,8.66489,pm25
1.0,2018-08-07 13:00:00,4.975699999999999,pm25
1.0,2018-08-07 14:00:00,2.48809,pm25
1.0,2018-08-07 15:00:00,6.23392,pm25
1.0,2018-08-07 16:00:00,9.94643,pm25
1.0,2018-08-07 17:00:00,6.20028,pm25
1.0,2018-08-07 18:00:00,11.0601,pm25
1.0,2018-08-07 19:00:00,13.4006,pm25
1.0,2018-08-07 20:00:00,12.1242,pm25
1.0,2018-08-07 21:00:00,16.9061,pm25
1.0,2018-08-07 22:00:00,18.0543,pm25
1.0,2018-08-07 23:00:00,14.3889,pm25
1.0,2018-08-08 00:00:00,15.5494,pm25
1.0,2018-08-08 01:00:00,13.1308,pm25
1.0,2018-08-08 02:00:00,8.33542,pm25
1.0,2018-08-08 03:00:00,11.8776,pm25
1.0,2018-08-08 04:00:00,11.8548,pm25
1.0,2018-08-08 05:00:00,18.9548,pm25
1.0,2018-08-08 06:00:00,18.9341,pm25
1.0,2018-08-08 07:00:00,22.4877,pm25
1.0,2018-08-08 08:00:00,13.143,pm25
1.0,2018-08-08 09:00:00,24.1282,pm25
2.2,2018-08-08 10:00:00,41.4384,pm25
1.0,2018-08-08 11:00:00,12.3079,pm25
1.0,2018-08-08 12:00:00,6.18498,pm25
1.0,2018-08-08 13:00:00,1.24068,pm25
1.0,2018-08-08 14:00:00,2.48291,pm25
1.0,2018-08-08 16:00:00,8.70795,pm25
1.0,2018-08-08 17:00:00,8.67845,pm25
1.0,2018-08-08 18:00:00,11.0905,pm25
1.0,2018-08-08 19:00:00,19.5575,pm25
1.0,2018-08-08 20:00:00,23.1101,pm25
1.0,2018-08-08 21:00:00,33.9686,pm25
1.0,2018-08-08 22:00:00,16.9097,pm25
1.0,2018-08-08 23:00:00,12.0626,pm25
1.0,2018-08-09 00:00:00,15.6628,pm25
1.0,2018-08-09 01:00:00,14.4398,pm25
1.0,2018-08-09 02:00:00,14.3945,pm25
1.0,2018-08-09 03:00:00,1.19982,pm25
3.0,2018-08-09 04:00:00,0.0,pm25
1.0,2018-08-09 05:00:00,3.58182,pm25
1.0,2018-08-09 06:00:00,11.9107,pm25
1.0,2018-08-09 07:00:00,9.52924,pm25
1.0,2018-08-09 08:00:00,17.9636,pm25
1.0,2018-08-09 09:00:00,26.5289,pm25
1.0,2018-08-09 10:00:00,24.341,pm25
3.3,2018-08-09 13:00:00,4.96227,pm25
1.0,2018-08-09 14:00:00,4.95408,pm25
1.0,2018-08-09 15:00:00,7.429,pm25
1.0,2018-08-09 16:00:00,7.420569999999999,pm25
1.0,2018-08-09 17:00:00,11.0757,pm25
1.0,2018-08-09 18:00:00,12.2436,pm25
1.0,2018-08-09 19:00:00,15.8413,pm25
1.0,2018-08-09 20:00:00,14.5715,pm25
1.0,2018-08-09 21:00:00,20.5082,pm25
1.0,2018-08-09 22:00:00,19.2047,pm25
1.0,2018-08-09 23:00:00,11.9827,pm25
1.0,2018-08-10 00:00:00,10.7649,pm25
1.0,2018-08-10 01:00:00,10.7407,pm25
1.0,2018-08-10 02:00:00,11.9052,pm25
1.0,2018-08-10 03:00:00,10.6897,pm25
1.0,2018-08-10 04:00:00,7.1158,pm25
1.0,2018-08-10 05:00:00,9.47837,pm25
1.0,2018-08-10 06:00:00,10.6548,pm25
1.0,2018-08-10 07:00:00,14.217,pm25
1.0,2018-08-10 08:00:00,19.1175,pm25
2.2,2018-08-10 09:00:00,32.535,pm25
1.0,2018-08-10 10:00:00,17.0763,pm25
1.0,2018-08-10 11:00:00,4.917259999999999,pm25
1.0,2018-08-10 12:00:00,3.694389999999999,pm25
1.0,2018-08-10 13:00:00,6.185139999999999,pm25
1.0,2018-08-10 14:00:00,6.18339,pm25
1.0,2018-08-10 15:00:00,8.66486,pm25
1.0,2018-08-10 16:00:00,9.90606,pm25
1.0,2018-08-10 17:00:00,13.603,pm25
1.0,2018-08-10 18:00:00,9.83777,pm25
1.0,2018-08-10 19:00:00,14.6478,pm25
1.0,2018-08-10 20:00:00,16.884,pm25
1.0,2018-08-10 21:00:00,13.1925,pm25
1.0,2018-08-10 22:00:00,20.322,pm25
1.0,2018-08-10 23:00:00,16.6849,pm25
1.0,2018-08-11 00:00:00,13.0923,pm25
1.0,2018-08-11 01:00:00,15.4705,pm25
1.0,2018-08-11 02:00:00,15.4581,pm25
1.0,2018-08-11 03:00:00,16.5994,pm25
1.0,2018-08-11 04:00:00,10.6496,pm25
1.0,2018-08-11 05:00:00,10.6308,pm25
1.0,2018-08-11 06:00:00,9.439,pm25
1.0,2018-08-11 07:00:00,7.08222,pm25
1.0,2018-08-11 08:00:00,11.9227,pm25
1.0,2018-08-11 09:00:00,25.2963,pm25
1.0,2018-08-11 10:00:00,24.3142,pm25
1.0,2018-08-11 11:00:00,11.034,pm25
1.0,2018-08-11 12:00:00,12.3317,pm25
1.0,2018-08-11 13:00:00,4.934879999999999,pm25
1.0,2018-08-11 14:00:00,8.65607,pm25
1.0,2018-08-11 15:00:00,7.431739999999999,pm25
1.0,2018-08-11 16:00:00,6.200859999999999,pm25
1.0,2018-08-11 17:00:00,8.68441,pm25
1.0,2018-08-11 18:00:00,8.63745,pm25
1.0,2018-08-11 19:00:00,12.2041,pm25
1.0,2018-08-11 20:00:00,14.4873,pm25
1.0,2018-08-11 21:00:00,24.0948,pm25
2.3,2018-08-11 22:00:00,27.6949,pm25
1.0,2018-08-11 23:00:00,19.2381,pm25
1.0,2018-08-12 00:00:00,17.9591,pm25
1.0,2018-08-12 01:00:00,20.3092,pm25
1.0,2018-08-12 02:00:00,17.8746,pm25
1.0,2018-08-12 03:00:00,11.9066,pm25
1.0,2018-08-12 04:00:00,16.6867,pm25
1.0,2018-08-12 05:00:00,8.34773,pm25
1.0,2018-08-12 06:00:00,10.7054,pm25
1.0,2018-08-12 07:00:00,13.0658,pm25
1.0,2018-08-12 08:00:00,4.79417,pm25
1.0,2018-08-12 09:00:00,23.0127,pm25
1.0,2018-08-12 10:00:00,12.1936,pm25
1.0,2018-08-12 11:00:00,4.91162,pm25
1.0,2018-08-12 12:00:00,6.159709999999999,pm25
1.0,2018-08-12 13:00:00,2.474019999999999,pm25
1.0,2018-08-12 14:00:00,3.71152,pm25
1.0,2018-08-12 15:00:00,12.3822,pm25
1.0,2018-08-12 16:00:00,6.16987,pm25
1.0,2018-08-12 17:00:00,4.93818,pm25
1.0,2018-08-12 18:00:00,17.1695,pm25
1.0,2018-08-12 19:00:00,6.09307,pm25
1.0,2018-08-12 20:00:00,20.627,pm25
1.0,2018-08-12 21:00:00,16.916,pm25
1.0,2018-08-12 22:00:00,13.2686,pm25
1.0,2018-08-12 23:00:00,7.204939999999999,pm25
1.0,2018-08-13 00:00:00,9.57908,pm25
1.0,2018-08-13 01:00:00,13.1881,pm25
1.0,2018-08-13 02:00:00,10.7995,pm25
1.0,2018-08-13 03:00:00,5.98662,pm25
1.0,2018-08-13 04:00:00,9.56632,pm25
1.0,2018-08-13 05:00:00,11.9479,pm25
1.0,2018-08-13 06:00:00,15.5284,pm25
1.0,2018-08-13 07:00:00,14.3514,pm25
1.0,2018-08-13 08:00:00,14.4527,pm25
2.2,2018-08-13 09:00:00,31.5504,pm25
1.0,2018-08-13 10:00:00,18.3168,pm25
1.0,2018-08-13 11:00:00,17.1928,pm25
1.0,2018-08-13 12:00:00,12.32,pm25
1.0,2018-08-13 13:00:00,7.427139999999999,pm25
1.0,2018-08-13 14:00:00,9.95317,pm25
1.0,2018-08-13 15:00:00,9.92294,pm25
1.0,2018-08-13 16:00:00,3.74376,pm25
1.0,2018-08-13 17:00:00,12.4185,pm25
1.0,2018-08-13 18:00:00,3.6978,pm25
1.0,2018-08-13 19:00:00,11.0244,pm25
1.0,2018-08-13 20:00:00,15.8482,pm25
1.0,2018-08-13 21:00:00,19.44,pm25
1.0,2018-08-13 22:00:00,16.9438,pm25
1.0,2018-08-13 23:00:00,21.6894,pm25
1.0,2018-08-14 00:00:00,14.3175,pm25
1.0,2018-08-14 01:00:00,4.74842,pm25
1.0,2018-08-14 02:00:00,8.31152,pm25
1.0,2018-08-14 03:00:00,10.6949,pm25
1.0,2018-08-14 04:00:00,9.50569,pm25
1.0,2018-08-14 05:00:00,10.6902,pm25
1.0,2018-08-14 06:00:00,5.93553,pm25
1.0,2018-08-14 07:00:00,9.5014,pm25
1.0,2018-08-14 08:00:00,15.4601,pm25
1.0,2018-08-14 09:00:00,16.7152,pm25
1.0,2018-08-14 10:00:00,34.8107,pm25
2.3,2018-08-14 11:00:00,39.866,pm25
2.3,2018-08-14 12:00:00,49.1909,pm25
2.3,2018-08-14 13:00:00,27.5393,pm25
2.3,2018-08-14 14:00:00,23.9716,pm25
2.3,2018-08-14 15:00:00,25.3867,pm25
2.3,2018-08-14 16:00:00,20.6866,pm25
2.3,2018-08-14 17:00:00,38.4919,pm25
1.0,2018-08-14 18:00:00,5.962839999999999,pm25
1.0,2018-08-14 19:00:00,16.6512,pm25
1.0,2018-08-14 20:00:00,10.6915,pm25
1.0,2018-08-14 21:00:00,10.6745,pm25
1.0,2018-08-14 22:00:00,4.73927,pm25
1.0,2018-08-14 23:00:00,5.91894,pm25
1.0,2018-08-15 00:00:00,2.3654,pm25
1.0,2018-08-15 01:00:00,2.36376,pm25
1.0,2018-08-15 02:00:00,3.545879999999999,pm25
1.0,2018-08-15 04:00:00,1.18265,pm25
1.0,2018-08-15 05:00:00,3.54429,pm25
1.0,2018-08-15 06:00:00,8.2552,pm25
1.0,2018-08-15 07:00:00,14.1743,pm25
1.0,2018-08-15 08:00:00,10.6806,pm25
2.2,2018-08-15 09:00:00,32.2867,pm25
2.2,2018-08-15 10:00:00,52.816,pm25
2.2,2018-08-15 11:00:00,39.8006,pm25
2.2,2018-08-15 12:00:00,27.9943,pm25
1.0,2018-08-15 13:00:00,8.56693,pm25
1.0,2018-08-15 14:00:00,4.925559999999999,pm25
1.0,2018-08-15 15:00:00,9.88769,pm25
1.0,2018-08-15 16:00:00,9.87343,pm25
1.0,2018-08-15 17:00:00,9.84156,pm25
1.0,2018-08-15 18:00:00,17.194,pm25
1.0,2018-08-15 19:00:00,10.9294,pm25
1.0,2018-08-15 20:00:00,7.218029999999999,pm25
1.0,2018-08-15 21:00:00,10.769,pm25
1.0,2018-08-15 22:00:00,10.7348,pm25
1.0,2018-08-15 23:00:00,8.32177,pm25
1.0,2018-08-16 00:00:00,9.49548,pm25
1.0,2018-08-16 01:00:00,11.8784,pm25
