calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,14.2005,pm25
1.0,2018-08-07 05:00:00,10.6428,pm25
1.0,2018-08-07 06:00:00,9.46096,pm25
1.0,2018-08-07 07:00:00,8.27708,pm25
1.0,2018-08-07 08:00:00,27.5398,pm25
1.0,2018-08-07 09:00:00,33.813,pm25
1.0,2018-08-07 10:00:00,19.5206,pm25
1.0,2018-08-07 11:00:00,13.5358,pm25
1.0,2018-08-07 12:00:00,11.138,pm25
1.0,2018-08-07 13:00:00,6.21694,pm25
1.0,2018-08-07 14:00:00,4.98843,pm25
1.0,2018-08-07 15:00:00,5.000759999999999,pm25
1.0,2018-08-07 16:00:00,2.49844,pm25
1.0,2018-08-07 18:00:00,6.165379999999999,pm25
1.0,2018-08-07 19:00:00,18.3108,pm25
1.0,2018-08-07 20:00:00,16.899,pm25
1.0,2018-08-07 21:00:00,16.8112,pm25
1.0,2018-08-07 22:00:00,15.5926,pm25
1.0,2018-08-07 23:00:00,19.1464,pm25
1.0,2018-08-08 00:00:00,13.1083,pm25
1.0,2018-08-08 01:00:00,20.2221,pm25
1.0,2018-08-08 02:00:00,13.0682,pm25
1.0,2018-08-08 03:00:00,15.4117,pm25
1.0,2018-08-08 04:00:00,17.7552,pm25
1.0,2018-08-08 05:00:00,20.1047,pm25
1.0,2018-08-08 06:00:00,17.7103,pm25
1.0,2018-08-08 07:00:00,25.9631,pm25
1.0,2018-08-08 08:00:00,35.8627,pm25
1.0,2018-08-08 09:00:00,47.0972,pm25
1.0,2018-08-08 10:00:00,25.6223,pm25
1.0,2018-08-08 11:00:00,15.9782,pm25
1.0,2018-08-08 12:00:00,12.3843,pm25
1.0,2018-08-08 13:00:00,2.47983,pm25
1.0,2018-08-08 14:00:00,6.23421,pm25
1.0,2018-08-08 15:00:00,4.98735,pm25
1.0,2018-08-08 16:00:00,3.7401,pm25
1.0,2018-08-08 17:00:00,4.959069999999999,pm25
1.0,2018-08-08 18:00:00,16.0456,pm25
1.0,2018-08-08 19:00:00,20.7666,pm25
1.0,2018-08-08 20:00:00,38.5991,pm25
2.3,2018-08-08 21:00:00,45.8334,pm25
2.3,2018-08-08 22:00:00,68.7601,pm25
1.0,2018-08-08 23:00:00,32.3632,pm25
1.0,2018-08-09 00:00:00,23.9536,pm25
1.0,2018-08-09 01:00:00,22.7574,pm25
1.0,2018-08-09 02:00:00,20.3502,pm25
1.0,2018-08-09 03:00:00,13.1249,pm25
1.0,2018-08-09 04:00:00,14.2787,pm25
1.0,2018-08-09 05:00:00,10.6979,pm25
1.0,2018-08-09 06:00:00,10.6988,pm25
1.0,2018-08-09 07:00:00,14.2956,pm25
1.0,2018-08-09 08:00:00,24.0081,pm25
1.0,2018-08-09 09:00:00,23.0424,pm25
1.0,2018-08-09 10:00:00,18.341,pm25
1.0,2018-08-09 11:00:00,14.7311,pm25
1.0,2018-08-09 12:00:00,12.3865,pm25
1.0,2018-08-09 13:00:00,4.96089,pm25
1.0,2018-08-09 14:00:00,2.476739999999999,pm25
1.0,2018-08-09 15:00:00,8.66414,pm25
1.0,2018-08-09 16:00:00,24.6921,pm25
1.0,2018-08-09 17:00:00,20.9212,pm25
1.0,2018-08-09 18:00:00,23.3176,pm25
1.0,2018-08-09 19:00:00,20.7372,pm25
1.0,2018-08-09 20:00:00,33.87,pm25
1.0,2018-08-09 21:00:00,36.005,pm25
1.0,2018-08-09 22:00:00,32.2622,pm25
1.0,2018-08-09 23:00:00,26.2094,pm25
1.0,2018-08-10 00:00:00,24.9622,pm25
1.0,2018-08-10 01:00:00,16.6365,pm25
1.0,2018-08-10 02:00:00,16.617,pm25
1.0,2018-08-10 03:00:00,15.3978,pm25
1.0,2018-08-10 04:00:00,24.8367,pm25
1.0,2018-08-10 05:00:00,21.2614,pm25
1.0,2018-08-10 06:00:00,16.5297,pm25
1.0,2018-08-10 07:00:00,18.9045,pm25
1.0,2018-08-10 08:00:00,28.6412,pm25
1.0,2018-08-10 09:00:00,30.1744,pm25
1.0,2018-08-10 10:00:00,20.7179,pm25
1.0,2018-08-10 11:00:00,12.2712,pm25
1.0,2018-08-10 12:00:00,2.46166,pm25
1.0,2018-08-10 13:00:00,4.946959999999999,pm25
1.0,2018-08-10 14:00:00,6.18972,pm25
1.0,2018-08-10 15:00:00,11.1488,pm25
1.0,2018-08-10 16:00:00,40.9198,pm25
1.0,2018-08-10 17:00:00,6.18463,pm25
1.0,2018-08-10 18:00:00,2.45812,pm25
1.0,2018-08-10 19:00:00,42.3959,pm25
1.0,2018-08-10 20:00:00,22.7899,pm25
1.0,2018-08-10 21:00:00,31.0271,pm25
1.0,2018-08-10 22:00:00,33.2998,pm25
1.0,2018-08-10 23:00:00,30.8285,pm25
1.0,2018-08-11 00:00:00,26.0749,pm25
1.0,2018-08-11 01:00:00,21.3148,pm25
1.0,2018-08-11 02:00:00,16.5804,pm25
1.0,2018-08-11 03:00:00,12.9908,pm25
1.0,2018-08-11 04:00:00,15.3219,pm25
1.0,2018-08-11 05:00:00,12.9489,pm25
1.0,2018-08-11 06:00:00,17.6431,pm25
1.0,2018-08-11 07:00:00,22.3803,pm25
1.0,2018-08-11 08:00:00,35.8252,pm25
1.0,2018-08-11 09:00:00,32.55,pm25
1.0,2018-08-11 10:00:00,18.2844,pm25
1.0,2018-08-11 11:00:00,15.9396,pm25
