calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,14.1388,pm25
1.0,2018-08-07 05:00:00,16.4959,pm25
1.0,2018-08-07 06:00:00,17.6357,pm25
1.0,2018-08-07 07:00:00,17.6175,pm25
1.0,2018-08-07 08:00:00,18.8559,pm25
1.0,2018-08-07 09:00:00,15.5377,pm25
1.0,2018-08-07 10:00:00,18.158,pm25
1.0,2018-08-07 11:00:00,12.2243,pm25
1.0,2018-08-07 12:00:00,16.0222,pm25
3.3,2018-08-07 16:00:00,8.67365,pm25
1.0,2018-08-07 17:00:00,2.457409999999999,pm25
1.0,2018-08-07 18:00:00,12.2275,pm25
1.0,2018-08-07 19:00:00,14.5373,pm25
1.0,2018-08-07 22:00:00,16.7826,pm25
1.0,2018-08-07 23:00:00,29.7973,pm25
1.0,2018-08-08 00:00:00,30.95,pm25
3.3,2018-08-08 02:00:00,28.4102,pm25
1.0,2018-08-08 03:00:00,24.81,pm25
1.0,2018-08-08 04:00:00,22.4186,pm25
1.0,2018-08-08 05:00:00,23.5745,pm25
1.0,2018-08-08 06:00:00,24.7052,pm25
1.0,2018-08-08 07:00:00,40.0238,pm25
1.0,2018-08-08 08:00:00,40.0912,pm25
1.0,2018-08-08 09:00:00,22.6785,pm25
1.0,2018-08-08 10:00:00,19.3704,pm25
1.0,2018-08-08 11:00:00,12.2201,pm25
1.0,2018-08-08 12:00:00,6.14412,pm25
1.0,2018-08-08 13:00:00,2.465809999999999,pm25
1.0,2018-08-08 14:00:00,2.471979999999999,pm25
1.0,2018-08-08 16:00:00,7.41676,pm25
1.0,2018-08-08 17:00:00,7.395839999999999,pm25
1.0,2018-08-08 18:00:00,17.1572,pm25
1.0,2018-08-08 19:00:00,15.7753,pm25
1.0,2018-08-08 20:00:00,30.1815,pm25
1.0,2018-08-08 21:00:00,24.0829,pm25
1.0,2018-08-08 22:00:00,32.3589,pm25
1.0,2018-08-08 23:00:00,25.126,pm25
1.0,2018-08-09 00:00:00,20.2997,pm25
1.0,2018-08-09 01:00:00,23.8646,pm25
1.0,2018-08-09 02:00:00,14.3271,pm25
1.0,2018-08-09 03:00:00,9.53416,pm25
1.0,2018-08-09 04:00:00,11.9092,pm25
1.0,2018-08-09 05:00:00,13.055,pm25
1.0,2018-08-09 06:00:00,16.591,pm25
1.0,2018-08-09 07:00:00,22.5126,pm25
1.0,2018-08-09 08:00:00,16.6413,pm25
1.0,2018-08-09 09:00:00,13.2043,pm25
1.0,2018-08-09 10:00:00,18.1786,pm25
1.0,2018-08-09 11:00:00,7.29973,pm25
3.0,2018-08-09 13:00:00,0.0,pm25
3.3,2018-08-09 14:00:00,4.930889999999999,pm25
1.0,2018-08-09 15:00:00,2.45582,pm25
1.0,2018-08-09 16:00:00,6.11533,pm25
1.0,2018-08-09 17:00:00,12.2186,pm25
