calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,33.3071,pm25
1.0,2018-08-07 05:00:00,38.0376,pm25
1.0,2018-08-07 06:00:00,27.3112,pm25
1.0,2018-08-07 07:00:00,29.7224,pm25
1.0,2018-08-07 08:00:00,15.6249,pm25
1.0,2018-08-07 09:00:00,19.3877,pm25
1.0,2018-08-07 10:00:00,15.9001,pm25
1.0,2018-08-07 11:00:00,9.87069,pm25
1.0,2018-08-07 12:00:00,4.96281,pm25
1.0,2018-08-07 13:00:00,1.245109999999999,pm25
1.0,2018-08-07 14:00:00,1.24858,pm25
1.0,2018-08-07 15:00:00,6.23535,pm25
1.0,2018-08-07 16:00:00,9.96635,pm25
1.0,2018-08-07 17:00:00,3.72392,pm25
1.0,2018-08-07 18:00:00,8.63534,pm25
1.0,2018-08-07 19:00:00,12.2383,pm25
1.0,2018-08-07 20:00:00,34.0482,pm25
1.0,2018-08-07 21:00:00,20.5659,pm25
1.0,2018-08-07 22:00:00,20.5388,pm25
1.0,2018-08-07 23:00:00,18.0821,pm25
1.0,2018-08-08 00:00:00,19.2242,pm25
1.0,2018-08-08 01:00:00,28.7627,pm25
1.0,2018-08-08 02:00:00,29.8971,pm25
1.0,2018-08-08 03:00:00,29.8375,pm25
1.0,2018-08-08 04:00:00,30.9685,pm25
1.0,2018-08-08 05:00:00,23.7946,pm25
1.0,2018-08-08 06:00:00,33.2486,pm25
1.0,2018-08-08 07:00:00,22.5789,pm25
1.0,2018-08-08 08:00:00,26.3957,pm25
1.0,2018-08-08 09:00:00,38.7949,pm25
1.0,2018-08-08 10:00:00,18.3596,pm25
1.0,2018-08-08 11:00:00,18.4358,pm25
1.0,2018-08-08 12:00:00,12.3348,pm25
1.0,2018-08-08 13:00:00,3.70729,pm25
1.0,2018-08-08 14:00:00,4.97344,pm25
1.0,2018-08-08 15:00:00,6.21098,pm25
1.0,2018-08-08 16:00:00,3.73266,pm25
1.0,2018-08-08 17:00:00,2.478689999999999,pm25
1.0,2018-08-08 18:00:00,14.7884,pm25
1.0,2018-08-08 19:00:00,18.3843,pm25
1.0,2018-08-08 20:00:00,30.4878,pm25
1.0,2018-08-08 21:00:00,29.1513,pm25
1.0,2018-08-08 22:00:00,16.9424,pm25
1.0,2018-08-08 23:00:00,13.2947,pm25
1.0,2018-08-09 00:00:00,21.7135,pm25
1.0,2018-08-09 01:00:00,24.0929,pm25
1.0,2018-08-09 02:00:00,20.4508,pm25
1.0,2018-08-09 03:00:00,22.8001,pm25
1.0,2018-08-09 04:00:00,20.3724,pm25
1.0,2018-08-09 05:00:00,20.3484,pm25
1.0,2018-08-09 06:00:00,20.3336,pm25
1.0,2018-08-09 07:00:00,17.9738,pm25
1.0,2018-08-09 08:00:00,13.2629,pm25
1.0,2018-08-09 09:00:00,9.72858,pm25
1.0,2018-08-09 10:00:00,9.80291,pm25
1.0,2018-08-09 11:00:00,4.925989999999999,pm25
1.0,2018-08-09 12:00:00,7.44812,pm25
1.0,2018-08-09 13:00:00,6.207329999999999,pm25
3.0,2018-08-09 14:00:00,0.0,pm25
1.0,2018-08-09 15:00:00,9.89991,pm25
1.0,2018-08-09 16:00:00,6.174669999999999,pm25
1.0,2018-08-09 17:00:00,9.85137,pm25
1.0,2018-08-09 18:00:00,12.2666,pm25
1.0,2018-08-09 19:00:00,20.7443,pm25
1.0,2018-08-09 20:00:00,17.0385,pm25
1.0,2018-08-09 21:00:00,32.6905,pm25
1.0,2018-08-09 22:00:00,37.2998,pm25
1.0,2018-08-09 23:00:00,40.8116,pm25
1.0,2018-08-10 00:00:00,41.9016,pm25
1.0,2018-08-10 01:00:00,37.1085,pm25
1.0,2018-08-10 02:00:00,33.4542,pm25
1.0,2018-08-10 03:00:00,26.2215,pm25
1.0,2018-08-10 04:00:00,35.7284,pm25
1.0,2018-08-10 05:00:00,23.7773,pm25
1.0,2018-08-10 06:00:00,30.8959,pm25
1.0,2018-08-10 07:00:00,33.2797,pm25
1.0,2018-08-10 08:00:00,26.3582,pm25
1.0,2018-08-10 09:00:00,23.0061,pm25
1.0,2018-08-10 10:00:00,7.33258,pm25
1.0,2018-08-10 11:00:00,11.0639,pm25
1.0,2018-08-10 12:00:00,2.46423,pm25
1.0,2018-08-10 13:00:00,4.946979999999999,pm25
1.0,2018-08-10 14:00:00,2.47751,pm25
1.0,2018-08-10 15:00:00,3.717379999999999,pm25
1.0,2018-08-10 16:00:00,6.19707,pm25
1.0,2018-08-10 17:00:00,8.65815,pm25
1.0,2018-08-10 18:00:00,7.38353,pm25
1.0,2018-08-10 19:00:00,14.6611,pm25
1.0,2018-08-10 20:00:00,54.5086,pm25
1.0,2018-08-10 21:00:00,32.4935,pm25
1.0,2018-08-10 22:00:00,44.3525,pm25
1.0,2018-08-10 23:00:00,44.2288,pm25
1.0,2018-08-11 00:00:00,49.0103,pm25
1.0,2018-08-11 01:00:00,35.7855,pm25
1.0,2018-08-11 02:00:00,39.3472,pm25
1.0,2018-08-11 03:00:00,36.8747,pm25
1.0,2018-08-11 04:00:00,35.6031,pm25
1.0,2018-08-11 05:00:00,33.1933,pm25
1.0,2018-08-11 06:00:00,34.3599,pm25
1.0,2018-08-11 07:00:00,30.825,pm25
1.0,2018-08-11 08:00:00,21.6275,pm25
1.0,2018-08-11 09:00:00,24.1793,pm25
1.0,2018-08-11 10:00:00,17.1328,pm25
1.0,2018-08-11 11:00:00,9.82718,pm25
1.0,2018-08-11 12:00:00,8.6394,pm25
1.0,2018-08-11 13:00:00,3.71478,pm25
1.0,2018-08-11 14:00:00,3.718659999999999,pm25
1.0,2018-08-11 15:00:00,9.92411,pm25
1.0,2018-08-11 16:00:00,4.957469999999999,pm25
1.0,2018-08-11 17:00:00,9.91927,pm25
1.0,2018-08-11 18:00:00,12.3253,pm25
1.0,2018-08-11 19:00:00,12.2376,pm25
1.0,2018-08-11 20:00:00,25.5137,pm25
1.0,2018-08-11 21:00:00,36.2534,pm25
1.0,2018-08-11 22:00:00,19.3431,pm25
1.0,2018-08-11 23:00:00,16.8687,pm25
1.0,2018-08-12 00:00:00,35.9838,pm25
1.0,2018-08-12 01:00:00,28.7571,pm25
1.0,2018-08-12 02:00:00,35.8989,pm25
1.0,2018-08-12 03:00:00,26.2866,pm25
1.0,2018-08-12 04:00:00,28.6437,pm25
1.0,2018-08-12 05:00:00,21.5071,pm25
1.0,2018-08-12 06:00:00,16.6782,pm25
1.0,2018-08-12 07:00:00,25.057,pm25
1.0,2018-08-12 08:00:00,20.4903,pm25
1.0,2018-08-12 09:00:00,17.0234,pm25
1.0,2018-08-12 10:00:00,9.77999,pm25
1.0,2018-08-12 11:00:00,8.59973,pm25
1.0,2018-08-12 12:00:00,8.645199999999999,pm25
1.0,2018-08-12 13:00:00,4.93512,pm25
1.0,2018-08-12 14:00:00,4.94883,pm25
1.0,2018-08-12 15:00:00,12.3708,pm25
1.0,2018-08-12 16:00:00,1.231519999999999,pm25
1.0,2018-08-12 17:00:00,3.696419999999999,pm25
1.0,2018-08-12 18:00:00,7.360339999999999,pm25
1.0,2018-08-12 19:00:00,4.886079999999999,pm25
1.0,2018-08-12 20:00:00,15.8131,pm25
1.0,2018-08-12 21:00:00,29.0264,pm25
1.0,2018-08-12 22:00:00,20.4725,pm25
1.0,2018-08-12 23:00:00,12.0169,pm25
1.0,2018-08-13 00:00:00,27.5575,pm25
1.0,2018-08-13 01:00:00,21.5788,pm25
1.0,2018-08-13 02:00:00,20.3631,pm25
1.0,2018-08-13 03:00:00,25.1389,pm25
1.0,2018-08-13 04:00:00,17.9141,pm25
1.0,2018-08-13 05:00:00,27.519,pm25
1.0,2018-08-13 06:00:00,26.3307,pm25
1.0,2018-08-13 07:00:00,25.149,pm25
1.0,2018-08-13 08:00:00,16.9227,pm25
1.0,2018-08-13 09:00:00,20.6753,pm25
3.3,2018-08-13 12:00:00,8.68759,pm25
1.0,2018-08-13 13:00:00,6.23188,pm25
1.0,2018-08-13 14:00:00,8.71782,pm25
1.0,2018-08-13 15:00:00,8.76784,pm25
1.0,2018-08-13 16:00:00,2.50111,pm25
1.0,2018-08-13 17:00:00,8.7258,pm25
1.0,2018-08-13 18:00:00,11.1354,pm25
1.0,2018-08-13 19:00:00,11.0513,pm25
1.0,2018-08-13 20:00:00,9.78526,pm25
1.0,2018-08-13 21:00:00,15.8492,pm25
1.0,2018-08-13 22:00:00,12.1347,pm25
1.0,2018-08-13 23:00:00,12.0835,pm25
1.0,2018-08-14 00:00:00,13.1418,pm25
1.0,2018-08-14 01:00:00,5.95354,pm25
1.0,2018-08-14 02:00:00,7.14974,pm25
1.0,2018-08-14 03:00:00,16.6997,pm25
1.0,2018-08-14 04:00:00,27.4045,pm25
1.0,2018-08-14 05:00:00,22.6214,pm25
1.0,2018-08-14 06:00:00,30.948,pm25
1.0,2018-08-14 07:00:00,42.8979,pm25
1.0,2018-08-14 08:00:00,31.0404,pm25
1.0,2018-08-14 09:00:00,22.7485,pm25
1.0,2018-08-14 10:00:00,26.5754,pm25
1.0,2018-08-14 11:00:00,25.5139,pm25
2.3,2018-08-14 12:00:00,33.9155,pm25
1.0,2018-08-14 13:00:00,10.8244,pm25
2.3,2018-08-14 14:00:00,18.0691,pm25
1.0,2018-08-14 15:00:00,18.2276,pm25
2.3,2018-08-14 16:00:00,26.8338,pm25
2.3,2018-08-14 17:00:00,29.1806,pm25
1.0,2018-08-14 18:00:00,11.9807,pm25
1.0,2018-08-14 19:00:00,5.95814,pm25
1.0,2018-08-14 20:00:00,19.0735,pm25
1.0,2018-08-14 21:00:00,19.0654,pm25
1.0,2018-08-14 22:00:00,26.1671,pm25
1.0,2018-08-14 23:00:00,39.242,pm25
1.0,2018-08-15 00:00:00,30.9194,pm25
1.0,2018-08-15 01:00:00,32.1093,pm25
1.0,2018-08-15 02:00:00,33.2598,pm25
1.0,2018-08-15 03:00:00,24.9446,pm25
1.0,2018-08-15 04:00:00,34.4804,pm25
1.0,2018-08-15 05:00:00,26.1073,pm25
1.0,2018-08-15 06:00:00,30.864,pm25
1.0,2018-08-15 07:00:00,26.1401,pm25
1.0,2018-08-15 08:00:00,33.3794,pm25
1.0,2018-08-15 09:00:00,28.8334,pm25
1.0,2018-08-15 10:00:00,32.6691,pm25
1.0,2018-08-15 11:00:00,26.6435,pm25
1.0,2018-08-15 12:00:00,17.1375,pm25
1.0,2018-08-15 13:00:00,9.84233,pm25
1.0,2018-08-15 14:00:00,12.3067,pm25
1.0,2018-08-15 15:00:00,11.1058,pm25
1.0,2018-08-15 16:00:00,17.3355,pm25
1.0,2018-08-15 17:00:00,4.95373,pm25
1.0,2018-08-15 18:00:00,13.521,pm25
1.0,2018-08-15 19:00:00,13.4113,pm25
1.0,2018-08-15 20:00:00,33.8783,pm25
1.0,2018-08-15 21:00:00,37.3432,pm25
1.0,2018-08-15 22:00:00,34.8015,pm25
1.0,2018-08-15 23:00:00,31.137,pm25
1.0,2018-08-16 00:00:00,32.2877,pm25
1.0,2018-08-16 01:00:00,28.6767,pm25
1.0,2018-08-16 02:00:00,27.4546,pm25
1.0,2018-08-16 03:00:00,36.9265,pm25
1.0,2018-08-16 04:00:00,30.9232,pm25
1.0,2018-08-16 05:00:00,33.2703,pm25
1.0,2018-08-16 06:00:00,32.0375,pm25
1.0,2018-08-16 07:00:00,49.891,pm25
1.0,2018-08-16 08:00:00,37.2241,pm25
1.0,2018-08-16 09:00:00,31.4928,pm25
1.0,2018-08-16 10:00:00,13.4388,pm25
