calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,8.49242,pm25
1.0,2018-08-07 05:00:00,8.50678,pm25
1.0,2018-08-07 06:00:00,1.21489,pm25
1.0,2018-08-07 07:00:00,2.43318,pm25
1.0,2018-08-07 08:00:00,3.692769999999999,pm25
1.0,2018-08-07 09:00:00,6.211859999999999,pm25
1.0,2018-08-07 10:00:00,6.248509999999999,pm25
1.0,2018-08-07 11:00:00,6.28253,pm25
1.0,2018-08-07 12:00:00,7.595299999999999,pm25
1.0,2018-08-07 14:00:00,7.61704,pm25
3.0,2018-08-07 15:00:00,0.0,pm25
1.0,2018-08-07 16:00:00,1.27139,pm25
1.0,2018-08-07 17:00:00,6.33039,pm25
1.0,2018-08-07 18:00:00,7.54907,pm25
1.0,2018-08-07 19:00:00,12.4946,pm25
2.2,2018-08-07 20:00:00,18.5774,pm25
1.0,2018-08-07 21:00:00,9.85106,pm25
1.0,2018-08-07 22:00:00,14.7625,pm25
1.0,2018-08-07 23:00:00,14.7382,pm25
1.0,2018-08-08 00:00:00,10.996,pm25
1.0,2018-08-08 01:00:00,12.2132,pm25
1.0,2018-08-08 02:00:00,8.525,pm25
1.0,2018-08-08 03:00:00,8.51463,pm25
1.0,2018-08-08 04:00:00,10.9461,pm25
1.0,2018-08-08 05:00:00,8.51231,pm25
1.0,2018-08-08 06:00:00,12.1687,pm25
1.0,2018-08-08 07:00:00,7.307999999999999,pm25
1.0,2018-08-08 08:00:00,24.5667,pm25
1.0,2018-08-08 09:00:00,29.7119,pm25
1.0,2018-08-08 10:00:00,19.9245,pm25
1.0,2018-08-08 11:00:00,1.25523,pm25
1.0,2018-08-08 12:00:00,3.7878599999999993,pm25
1.0,2018-08-08 13:00:00,6.33012,pm25
1.0,2018-08-08 14:00:00,3.805959999999999,pm25
1.0,2018-08-08 15:00:00,7.617759999999999,pm25
1.0,2018-08-08 16:00:00,1.267479999999999,pm25
1.0,2018-08-08 17:00:00,6.31623,pm25
1.0,2018-08-08 18:00:00,15.0958,pm25
1.0,2018-08-08 19:00:00,18.7536,pm25
1.0,2018-08-08 20:00:00,23.5189,pm25
1.0,2018-08-08 21:00:00,22.2224,pm25
1.0,2018-08-08 22:00:00,24.6973,pm25
1.0,2018-08-08 23:00:00,12.3301,pm25
1.0,2018-08-09 00:00:00,6.16485,pm25
1.0,2018-08-09 01:00:00,7.38055,pm25
1.0,2018-08-09 02:00:00,7.363209999999999,pm25
1.0,2018-08-09 03:00:00,7.34327,pm25
1.0,2018-08-09 04:00:00,7.32136,pm25
1.0,2018-08-09 05:00:00,2.43617,pm25
1.0,2018-08-09 06:00:00,6.102319999999999,pm25
1.0,2018-08-09 07:00:00,11.0101,pm25
1.0,2018-08-09 08:00:00,4.922369999999999,pm25
1.0,2018-08-09 09:00:00,4.960919999999999,pm25
3.0,2018-08-09 10:00:00,0.0,pm25
1.0,2018-08-09 11:00:00,5.02045,pm25
1.0,2018-08-09 12:00:00,5.048429999999999,pm25
1.0,2018-08-09 13:00:00,2.531509999999999,pm25
1.0,2018-08-09 14:00:00,5.05382,pm25
1.0,2018-08-09 15:00:00,6.32153,pm25
1.0,2018-08-09 16:00:00,2.52854,pm25
1.0,2018-08-09 17:00:00,12.5844,pm25
1.0,2018-08-09 18:00:00,8.76421,pm25
1.0,2018-08-09 19:00:00,19.929,pm25
1.0,2018-08-09 20:00:00,21.1129,pm25
1.0,2018-08-09 21:00:00,23.4264,pm25
1.0,2018-08-09 22:00:00,13.4859,pm25
1.0,2018-08-09 23:00:00,13.4412,pm25
1.0,2018-08-10 00:00:00,8.54396,pm25
1.0,2018-08-10 01:00:00,10.9729,pm25
1.0,2018-08-10 02:00:00,14.5984,pm25
1.0,2018-08-10 03:00:00,2.434979999999999,pm25
1.0,2018-08-10 04:00:00,6.091739999999999,pm25
1.0,2018-08-10 05:00:00,7.30274,pm25
1.0,2018-08-10 06:00:00,10.9302,pm25
1.0,2018-08-10 07:00:00,10.9214,pm25
1.0,2018-08-10 08:00:00,8.59348,pm25
1.0,2018-08-10 09:00:00,12.3453,pm25
1.0,2018-08-10 10:00:00,8.70106,pm25
1.0,2018-08-10 11:00:00,4.99776,pm25
1.0,2018-08-10 12:00:00,2.508,pm25
1.0,2018-08-10 13:00:00,1.25709,pm25
1.0,2018-08-10 14:00:00,3.779189999999999,pm25
1.0,2018-08-10 15:00:00,6.302319999999999,pm25
1.0,2018-08-10 16:00:00,8.8273,pm25
1.0,2018-08-10 17:00:00,11.3525,pm25
1.0,2018-08-10 18:00:00,16.3116,pm25
1.0,2018-08-10 19:00:00,17.4196,pm25
1.0,2018-08-10 20:00:00,19.7172,pm25
1.0,2018-08-10 21:00:00,26.9346,pm25
1.0,2018-08-10 22:00:00,15.8304,pm25
2.3,2018-08-10 23:00:00,37.7863,pm25
1.0,2018-08-11 00:00:00,12.1705,pm25
1.0,2018-08-11 01:00:00,13.3565,pm25
1.0,2018-08-11 02:00:00,9.70361,pm25
1.0,2018-08-11 03:00:00,10.8921,pm25
1.0,2018-08-11 04:00:00,13.296,pm25
2.3,2018-08-11 05:00:00,15.6944,pm25
1.0,2018-08-11 06:00:00,20.5032,pm25
1.0,2018-08-11 07:00:00,8.48922,pm25
1.0,2018-08-11 08:00:00,13.5078,pm25
1.0,2018-08-11 09:00:00,14.8301,pm25
1.0,2018-08-11 10:00:00,8.7045,pm25
1.0,2018-08-11 11:00:00,8.76372,pm25
1.0,2018-08-11 12:00:00,5.028609999999999,pm25
1.0,2018-08-11 13:00:00,3.77955,pm25
1.0,2018-08-11 14:00:00,7.58286,pm25
1.0,2018-08-11 15:00:00,3.79233,pm25
1.0,2018-08-11 16:00:00,5.061119999999999,pm25
1.0,2018-08-11 17:00:00,16.4349,pm25
1.0,2018-08-11 18:00:00,20.1236,pm25
1.0,2018-08-11 19:00:00,19.877,pm25
1.0,2018-08-11 20:00:00,18.4841,pm25
1.0,2018-08-11 21:00:00,26.9789,pm25
1.0,2018-08-11 22:00:00,24.5277,pm25
1.0,2018-08-11 23:00:00,22.1217,pm25
1.0,2018-08-12 00:00:00,18.3289,pm25
1.0,2018-08-12 01:00:00,15.847,pm25
1.0,2018-08-12 02:00:00,15.8335,pm25
1.0,2018-08-12 03:00:00,14.6088,pm25
1.0,2018-08-12 04:00:00,12.1641,pm25
1.0,2018-08-12 05:00:00,12.1644,pm25
1.0,2018-08-12 06:00:00,7.28394,pm25
