calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,12.1398,pm25
1.0,2018-08-07 05:00:00,13.3381,pm25
1.0,2018-08-07 06:00:00,10.9042,pm25
1.0,2018-08-07 07:00:00,10.8965,pm25
1.0,2018-08-07 08:00:00,4.87493,pm25
1.0,2018-08-07 09:00:00,14.7649,pm25
1.0,2018-08-07 10:00:00,13.6483,pm25
1.0,2018-08-07 11:00:00,12.5322,pm25
1.0,2018-08-07 12:00:00,8.82915,pm25
1.0,2018-08-07 13:00:00,3.79944,pm25
1.0,2018-08-07 14:00:00,3.80187,pm25
1.0,2018-08-07 15:00:00,3.811859999999999,pm25
1.0,2018-08-07 16:00:00,6.34048,pm25
1.0,2018-08-07 17:00:00,5.059,pm25
1.0,2018-08-07 18:00:00,7.52512,pm25
1.0,2018-08-07 19:00:00,12.4493,pm25
1.0,2018-08-07 20:00:00,13.647,pm25
1.0,2018-08-07 21:00:00,22.2469,pm25
1.0,2018-08-07 22:00:00,22.1731,pm25
1.0,2018-08-07 23:00:00,18.4441,pm25
1.0,2018-08-08 00:00:00,17.1526,pm25
1.0,2018-08-08 01:00:00,18.3531,pm25
1.0,2018-08-08 02:00:00,12.2157,pm25
1.0,2018-08-08 03:00:00,15.8463,pm25
1.0,2018-08-08 04:00:00,15.8154,pm25
1.0,2018-08-08 05:00:00,14.5852,pm25
1.0,2018-08-08 06:00:00,13.3516,pm25
1.0,2018-08-08 07:00:00,24.246,pm25
1.0,2018-08-08 08:00:00,14.6412,pm25
1.0,2018-08-08 09:00:00,23.387,pm25
1.0,2018-08-08 10:00:00,34.7194,pm25
1.0,2018-08-08 11:00:00,10.0278,pm25
1.0,2018-08-08 12:00:00,7.56186,pm25
3.0,2018-08-08 13:00:00,0.0,pm25
1.0,2018-08-08 14:00:00,2.52955,pm25
1.0,2018-08-08 15:00:00,6.326679999999999,pm25
1.0,2018-08-08 16:00:00,11.3681,pm25
1.0,2018-08-08 17:00:00,11.3806,pm25
1.0,2018-08-08 18:00:00,13.8347,pm25
1.0,2018-08-08 19:00:00,16.2322,pm25
1.0,2018-08-08 20:00:00,26.1108,pm25
2.3,2018-08-08 21:00:00,28.4754,pm25
1.0,2018-08-08 22:00:00,18.511,pm25
1.0,2018-08-08 23:00:00,8.61432,pm25
1.0,2018-08-09 00:00:00,4.921789999999999,pm25
1.0,2018-08-09 01:00:00,9.84132,pm25
1.0,2018-08-09 02:00:00,11.066,pm25
1.0,2018-08-09 03:00:00,15.9542,pm25
1.0,2018-08-09 04:00:00,17.156,pm25
1.0,2018-08-09 05:00:00,9.77719,pm25
1.0,2018-08-09 06:00:00,6.10484,pm25
1.0,2018-08-09 07:00:00,17.1001,pm25
1.0,2018-08-09 08:00:00,24.5048,pm25
1.0,2018-08-09 09:00:00,18.5202,pm25
1.0,2018-08-09 10:00:00,12.4465,pm25
1.0,2018-08-09 11:00:00,12.5215,pm25
1.0,2018-08-09 12:00:00,8.81723,pm25
1.0,2018-08-09 13:00:00,3.783249999999999,pm25
1.0,2018-08-09 14:00:00,5.04333,pm25
1.0,2018-08-09 15:00:00,6.30905,pm25
1.0,2018-08-09 16:00:00,5.02657,pm25
1.0,2018-08-09 17:00:00,11.2774,pm25
1.0,2018-08-09 18:00:00,11.245,pm25
1.0,2018-08-09 19:00:00,12.4292,pm25
1.0,2018-08-09 20:00:00,24.7555,pm25
1.0,2018-08-09 21:00:00,23.4402,pm25
1.0,2018-08-09 22:00:00,24.6378,pm25
1.0,2018-08-09 23:00:00,23.3358,pm25
1.0,2018-08-10 00:00:00,23.2617,pm25
1.0,2018-08-10 01:00:00,9.77374,pm25
1.0,2018-08-10 02:00:00,17.0753,pm25
1.0,2018-08-10 03:00:00,9.74372,pm25
1.0,2018-08-10 04:00:00,13.368,pm25
1.0,2018-08-10 05:00:00,12.1462,pm25
1.0,2018-08-10 06:00:00,8.48994,pm25
1.0,2018-08-10 07:00:00,15.7696,pm25
1.0,2018-08-10 08:00:00,17.0604,pm25
1.0,2018-08-10 09:00:00,38.0748,pm25
1.0,2018-08-10 10:00:00,17.3623,pm25
1.0,2018-08-10 11:00:00,8.73579,pm25
1.0,2018-08-10 12:00:00,6.264319999999999,pm25
1.0,2018-08-10 13:00:00,2.50898,pm25
1.0,2018-08-10 14:00:00,7.545729999999999,pm25
1.0,2018-08-10 15:00:00,6.294889999999999,pm25
1.0,2018-08-10 16:00:00,7.571489999999999,pm25
1.0,2018-08-10 17:00:00,7.562059999999999,pm25
1.0,2018-08-10 18:00:00,7.532689999999999,pm25
1.0,2018-08-10 19:00:00,6.224619999999999,pm25
1.0,2018-08-10 20:00:00,9.90075,pm25
1.0,2018-08-10 21:00:00,20.952,pm25
1.0,2018-08-10 22:00:00,18.409,pm25
1.0,2018-08-10 23:00:00,23.2391,pm25
1.0,2018-08-11 00:00:00,24.4053,pm25
1.0,2018-08-11 01:00:00,21.9296,pm25
1.0,2018-08-11 02:00:00,21.9213,pm25
1.0,2018-08-11 03:00:00,14.59,pm25
1.0,2018-08-11 04:00:00,14.5549,pm25
1.0,2018-08-11 05:00:00,14.5278,pm25
1.0,2018-08-11 06:00:00,15.7363,pm25
1.0,2018-08-11 07:00:00,15.7143,pm25
1.0,2018-08-11 08:00:00,10.9257,pm25
1.0,2018-08-11 09:00:00,22.1049,pm25
1.0,2018-08-11 10:00:00,23.5318,pm25
1.0,2018-08-11 11:00:00,8.75042,pm25
1.0,2018-08-11 12:00:00,6.26625,pm25
1.0,2018-08-11 13:00:00,3.76972,pm25
1.0,2018-08-11 14:00:00,5.039959999999999,pm25
1.0,2018-08-11 15:00:00,6.31479,pm25
1.0,2018-08-11 16:00:00,8.86309,pm25
1.0,2018-08-11 17:00:00,7.58511,pm25
