calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,10.7154,pm25
1.0,2018-08-07 05:00:00,5.963359999999999,pm25
1.0,2018-08-07 06:00:00,13.0998,pm25
1.0,2018-08-07 07:00:00,8.33387,pm25
1.0,2018-08-07 08:00:00,4.77034,pm25
1.0,2018-08-07 09:00:00,18.1108,pm25
1.0,2018-08-07 10:00:00,12.1868,pm25
1.0,2018-08-07 11:00:00,6.15306,pm25
1.0,2018-08-07 12:00:00,8.67159,pm25
1.0,2018-08-07 13:00:00,2.479159999999999,pm25
1.0,2018-08-07 14:00:00,4.974359999999999,pm25
1.0,2018-08-07 15:00:00,4.98951,pm25
1.0,2018-08-07 16:00:00,3.73912,pm25
1.0,2018-08-07 17:00:00,3.7145,pm25
1.0,2018-08-07 18:00:00,13.5293,pm25
1.0,2018-08-07 19:00:00,13.4244,pm25
1.0,2018-08-07 20:00:00,8.51947,pm25
1.0,2018-08-07 21:00:00,8.49731,pm25
1.0,2018-08-07 22:00:00,24.2286,pm25
1.0,2018-08-07 23:00:00,18.0637,pm25
1.0,2018-08-08 00:00:00,19.199,pm25
1.0,2018-08-08 01:00:00,17.9828,pm25
1.0,2018-08-08 02:00:00,17.935,pm25
1.0,2018-08-08 03:00:00,19.0865,pm25
1.0,2018-08-08 04:00:00,19.0607,pm25
1.0,2018-08-08 05:00:00,13.0876,pm25
1.0,2018-08-08 06:00:00,11.8898,pm25
1.0,2018-08-08 07:00:00,22.5759,pm25
1.0,2018-08-08 08:00:00,19.0593,pm25
1.0,2018-08-08 09:00:00,38.6267,pm25
1.0,2018-08-08 10:00:00,20.7247,pm25
1.0,2018-08-08 11:00:00,4.91818,pm25
1.0,2018-08-08 12:00:00,6.178939999999999,pm25
1.0,2018-08-08 13:00:00,1.23811,pm25
1.0,2018-08-08 14:00:00,2.482699999999999,pm25
1.0,2018-08-08 15:00:00,2.48049,pm25
1.0,2018-08-08 16:00:00,7.45129,pm25
1.0,2018-08-08 17:00:00,11.148,pm25
1.0,2018-08-08 18:00:00,14.7802,pm25
1.0,2018-08-08 19:00:00,24.4454,pm25
1.0,2018-08-08 20:00:00,25.5602,pm25
1.0,2018-08-08 21:00:00,21.828,pm25
1.0,2018-08-08 22:00:00,12.09,pm25
1.0,2018-08-08 23:00:00,14.4933,pm25
1.0,2018-08-09 00:00:00,8.43595,pm25
1.0,2018-08-09 01:00:00,16.8679,pm25
1.0,2018-08-09 02:00:00,8.44137,pm25
1.0,2018-08-09 03:00:00,4.80722,pm25
1.0,2018-08-09 04:00:00,9.62233,pm25
1.0,2018-08-09 05:00:00,9.60108,pm25
1.0,2018-08-09 06:00:00,4.803119999999999,pm25
1.0,2018-08-09 07:00:00,4.798339999999999,pm25
3.0,2018-08-09 08:00:00,0.0,pm25
1.0,2018-08-09 09:00:00,10.9035,pm25
1.0,2018-08-09 10:00:00,6.094039999999999,pm25
1.0,2018-08-09 11:00:00,7.3723,pm25
1.0,2018-08-09 12:00:00,6.180229999999999,pm25
1.0,2018-08-09 13:00:00,3.713039999999999,pm25
1.0,2018-08-09 14:00:00,2.47766,pm25
1.0,2018-08-09 15:00:00,2.47106,pm25
1.0,2018-08-09 16:00:00,7.39388,pm25
1.0,2018-08-09 17:00:00,6.13991,pm25
1.0,2018-08-09 18:00:00,13.4749,pm25
1.0,2018-08-09 19:00:00,24.3889,pm25
1.0,2018-08-09 20:00:00,25.478,pm25
1.0,2018-08-09 21:00:00,24.1619,pm25
1.0,2018-08-09 22:00:00,26.5029,pm25
1.0,2018-08-09 23:00:00,16.8176,pm25
1.0,2018-08-10 00:00:00,12.0166,pm25
1.0,2018-08-10 01:00:00,9.59128,pm25
1.0,2018-08-10 02:00:00,14.3407,pm25
1.0,2018-08-10 03:00:00,5.960079999999999,pm25
1.0,2018-08-10 04:00:00,5.97691,pm25
1.0,2018-08-10 05:00:00,9.52501,pm25
1.0,2018-08-10 06:00:00,15.4534,pm25
1.0,2018-08-10 07:00:00,18.9984,pm25
1.0,2018-08-10 08:00:00,23.8463,pm25
1.0,2018-08-10 09:00:00,21.71,pm25
1.0,2018-08-10 10:00:00,10.9578,pm25
1.0,2018-08-10 11:00:00,3.681049999999999,pm25
1.0,2018-08-10 12:00:00,4.916019999999999,pm25
3.0,2018-08-10 13:00:00,0.0,pm25
1.0,2018-08-10 14:00:00,1.23479,pm25
1.0,2018-08-10 15:00:00,6.18616,pm25
1.0,2018-08-10 16:00:00,13.6329,pm25
1.0,2018-08-10 17:00:00,9.86742,pm25
1.0,2018-08-10 18:00:00,8.5919,pm25
1.0,2018-08-10 19:00:00,9.73559,pm25
1.0,2018-08-10 20:00:00,10.8847,pm25
1.0,2018-08-10 21:00:00,12.0295,pm25
1.0,2018-08-10 22:00:00,13.219,pm25
1.0,2018-08-10 23:00:00,13.1999,pm25
1.0,2018-08-11 00:00:00,19.159,pm25
1.0,2018-08-11 01:00:00,4.78598,pm25
1.0,2018-08-11 02:00:00,8.36228,pm25
1.0,2018-08-11 03:00:00,13.0833,pm25
1.0,2018-08-11 04:00:00,11.8678,pm25
1.0,2018-08-11 05:00:00,5.931569999999999,pm25
1.0,2018-08-11 06:00:00,14.2093,pm25
1.0,2018-08-11 07:00:00,11.8418,pm25
1.0,2018-08-11 08:00:00,14.2502,pm25
1.0,2018-08-11 09:00:00,26.4773,pm25
1.0,2018-08-11 10:00:00,8.50609,pm25
1.0,2018-08-11 11:00:00,3.6815,pm25
1.0,2018-08-11 12:00:00,4.915879999999999,pm25
1.0,2018-08-11 13:00:00,9.84746,pm25
1.0,2018-08-11 14:00:00,3.70894,pm25
1.0,2018-08-11 15:00:00,11.1329,pm25
1.0,2018-08-11 16:00:00,7.4428,pm25
1.0,2018-08-11 17:00:00,12.3695,pm25
1.0,2018-08-11 18:00:00,11.0783,pm25
1.0,2018-08-11 19:00:00,13.4126,pm25
1.0,2018-08-11 20:00:00,10.9432,pm25
1.0,2018-08-11 21:00:00,25.4761,pm25
1.0,2018-08-11 22:00:00,27.7713,pm25
2.3,2018-08-11 23:00:00,28.8899,pm25
1.0,2018-08-12 00:00:00,25.2151,pm25
1.0,2018-08-12 01:00:00,21.5524,pm25
1.0,2018-08-12 02:00:00,17.9456,pm25
1.0,2018-08-12 03:00:00,16.7364,pm25
1.0,2018-08-12 04:00:00,16.7916,pm25
1.0,2018-08-12 05:00:00,15.583,pm25
1.0,2018-08-12 06:00:00,11.9609,pm25
1.0,2018-08-12 07:00:00,10.7522,pm25
1.0,2018-08-12 08:00:00,8.38226,pm25
1.0,2018-08-12 09:00:00,24.2148,pm25
1.0,2018-08-12 10:00:00,8.51591,pm25
1.0,2018-08-12 11:00:00,11.0167,pm25
1.0,2018-08-12 12:00:00,3.700099999999999,pm25
1.0,2018-08-12 13:00:00,2.469669999999999,pm25
1.0,2018-08-12 14:00:00,6.183309999999999,pm25
1.0,2018-08-12 15:00:00,3.69721,pm25
1.0,2018-08-12 16:00:00,3.68847,pm25
1.0,2018-08-12 17:00:00,2.455159999999999,pm25
1.0,2018-08-12 18:00:00,8.55688,pm25
1.0,2018-08-12 19:00:00,8.52053,pm25
1.0,2018-08-12 20:00:00,12.14,pm25
1.0,2018-08-12 21:00:00,14.4711,pm25
1.0,2018-08-12 22:00:00,10.8505,pm25
1.0,2018-08-12 23:00:00,16.8169,pm25
1.0,2018-08-13 00:00:00,11.9844,pm25
1.0,2018-08-13 01:00:00,14.417,pm25
1.0,2018-08-13 02:00:00,10.7893,pm25
1.0,2018-08-13 03:00:00,9.58686,pm25
1.0,2018-08-13 04:00:00,11.9658,pm25
1.0,2018-08-13 05:00:00,10.7782,pm25
1.0,2018-08-13 06:00:00,14.3624,pm25
1.0,2018-08-13 07:00:00,14.3429,pm25
1.0,2018-08-13 08:00:00,18.0072,pm25
