calidad,fecha,valor,variableConsulta
1.0,2018-08-07 04:00:00,11.8819,pm25
1.0,2018-08-07 05:00:00,15.4417,pm25
1.0,2018-08-07 06:00:00,11.8695,pm25
1.0,2018-08-07 07:00:00,9.49388,pm25
1.0,2018-08-07 08:00:00,19.2291,pm25
1.0,2018-08-07 09:00:00,23.0494,pm25
1.0,2018-08-07 10:00:00,30.5473,pm25
1.0,2018-08-07 11:00:00,12.3402,pm25
1.0,2018-08-07 12:00:00,11.1996,pm25
1.0,2018-08-07 13:00:00,6.241189999999999,pm25
1.0,2018-08-07 14:00:00,5.011429999999999,pm25
1.0,2018-08-07 15:00:00,5.01898,pm25
1.0,2018-08-07 16:00:00,5.006929999999999,pm25
1.0,2018-08-07 17:00:00,2.48896,pm25
1.0,2018-08-07 18:00:00,6.177749999999999,pm25
1.0,2018-08-07 19:00:00,8.57673,pm25
1.0,2018-08-07 20:00:00,12.1509,pm25
1.0,2018-08-07 21:00:00,12.0615,pm25
1.0,2018-08-07 22:00:00,18.0551,pm25
1.0,2018-08-07 23:00:00,21.6313,pm25
1.0,2018-08-08 00:00:00,19.1617,pm25
1.0,2018-08-08 01:00:00,17.9049,pm25
1.0,2018-08-08 02:00:00,14.2944,pm25
1.0,2018-08-08 03:00:00,21.4391,pm25
1.0,2018-08-08 04:00:00,16.6492,pm25
1.0,2018-08-08 05:00:00,22.5752,pm25
1.0,2018-08-08 06:00:00,20.1474,pm25
1.0,2018-08-08 07:00:00,17.7957,pm25
1.0,2018-08-08 08:00:00,34.8722,pm25
1.0,2018-08-08 09:00:00,40.0891,pm25
1.0,2018-08-08 10:00:00,29.3656,pm25
1.0,2018-08-08 11:00:00,14.813,pm25
1.0,2018-08-08 12:00:00,1.2455,pm25
1.0,2018-08-08 13:00:00,4.99122,pm25
1.0,2018-08-08 14:00:00,7.509599999999999,pm25
1.0,2018-08-08 15:00:00,6.245599999999999,pm25
1.0,2018-08-08 16:00:00,6.239329999999999,pm25
1.0,2018-08-08 17:00:00,4.974359999999999,pm25
1.0,2018-08-08 18:00:00,9.89663,pm25
1.0,2018-08-08 19:00:00,9.80333,pm25
1.0,2018-08-08 20:00:00,9.74661,pm25
1.0,2018-08-08 21:00:00,18.2219,pm25
1.0,2018-08-08 22:00:00,21.8379,pm25
1.0,2018-08-08 23:00:00,16.9666,pm25
1.0,2018-08-09 00:00:00,13.2894,pm25
1.0,2018-08-09 01:00:00,15.6727,pm25
1.0,2018-08-09 02:00:00,12.0616,pm25
1.0,2018-08-09 03:00:00,12.0442,pm25
1.0,2018-08-09 04:00:00,10.7972,pm25
1.0,2018-08-09 05:00:00,8.37981,pm25
1.0,2018-08-09 06:00:00,10.7619,pm25
1.0,2018-08-09 07:00:00,10.7672,pm25
1.0,2018-08-09 08:00:00,16.8582,pm25
2.2,2018-08-09 09:00:00,31.5479,pm25
1.0,2018-08-09 10:00:00,14.6939,pm25
1.0,2018-08-09 11:00:00,13.5414,pm25
1.0,2018-08-09 12:00:00,11.1268,pm25
1.0,2018-08-09 13:00:00,6.224999999999999,pm25
1.0,2018-08-09 14:00:00,3.73942,pm25
1.0,2018-08-09 15:00:00,7.476799999999999,pm25
1.0,2018-08-09 16:00:00,13.6604,pm25
1.0,2018-08-09 17:00:00,6.17814,pm25
1.0,2018-08-09 18:00:00,9.84657,pm25
1.0,2018-08-09 19:00:00,8.57148,pm25
1.0,2018-08-09 20:00:00,17.0714,pm25
1.0,2018-08-09 21:00:00,8.46809,pm25
1.0,2018-08-09 22:00:00,10.8256,pm25
1.0,2018-08-09 23:00:00,7.19862,pm25
1.0,2018-08-10 00:00:00,5.97567,pm25
1.0,2018-08-10 01:00:00,10.7418,pm25
1.0,2018-08-10 02:00:00,11.9185,pm25
1.0,2018-08-10 03:00:00,10.7159,pm25
1.0,2018-08-10 04:00:00,13.0654,pm25
1.0,2018-08-10 05:00:00,11.8683,pm25
1.0,2018-08-10 06:00:00,11.8599,pm25
1.0,2018-08-10 07:00:00,11.8876,pm25
2.2,2018-08-10 08:00:00,37.2482,pm25
2.2,2018-08-10 09:00:00,35.1612,pm25
1.0,2018-08-10 10:00:00,19.5695,pm25
1.0,2018-08-10 11:00:00,7.40615,pm25
1.0,2018-08-10 12:00:00,7.445369999999999,pm25
1.0,2018-08-10 13:00:00,7.455059999999999,pm25
1.0,2018-08-10 14:00:00,7.460759999999999,pm25
1.0,2018-08-10 15:00:00,9.96013,pm25
1.0,2018-08-10 16:00:00,8.69198,pm25
1.0,2018-08-10 17:00:00,12.4051,pm25
1.0,2018-08-10 18:00:00,12.3456,pm25
1.0,2018-08-10 19:00:00,8.56806,pm25
1.0,2018-08-10 20:00:00,3.61931,pm25
1.0,2018-08-10 21:00:00,9.59248,pm25
1.0,2018-08-10 22:00:00,9.54992,pm25
1.0,2018-08-10 23:00:00,16.6745,pm25
1.0,2018-08-11 00:00:00,21.4189,pm25
1.0,2018-08-11 01:00:00,16.6552,pm25
1.0,2018-08-11 02:00:00,14.2723,pm25
1.0,2018-08-11 03:00:00,13.0499,pm25
1.0,2018-08-11 04:00:00,13.025,pm25
1.0,2018-08-11 05:00:00,15.367,pm25
1.0,2018-08-11 06:00:00,16.5365,pm25
1.0,2018-08-11 07:00:00,12.9986,pm25
1.0,2018-08-11 08:00:00,17.9927,pm25
1.0,2018-08-11 09:00:00,35.0567,pm25
1.0,2018-08-11 10:00:00,35.3348,pm25
1.0,2018-08-11 11:00:00,13.5526,pm25
1.0,2018-08-11 12:00:00,4.95352,pm25
1.0,2018-08-11 13:00:00,3.72322,pm25
1.0,2018-08-11 14:00:00,13.6722,pm25
1.0,2018-08-11 15:00:00,14.9547,pm25
1.0,2018-08-11 16:00:00,9.97872,pm25
1.0,2018-08-11 17:00:00,7.46999,pm25
1.0,2018-08-11 18:00:00,8.66462,pm25
1.0,2018-08-11 19:00:00,4.87793,pm25
1.0,2018-08-11 20:00:00,7.25549,pm25
1.0,2018-08-11 21:00:00,13.2646,pm25
1.0,2018-08-11 22:00:00,19.2628,pm25
1.0,2018-08-11 23:00:00,27.6415,pm25
1.0,2018-08-12 00:00:00,25.1323,pm25
1.0,2018-08-12 01:00:00,20.3504,pm25
1.0,2018-08-12 02:00:00,20.2733,pm25
1.0,2018-08-12 03:00:00,20.2488,pm25
1.0,2018-08-12 04:00:00,15.4813,pm25
1.0,2018-08-12 05:00:00,17.8898,pm25
1.0,2018-08-12 06:00:00,11.8923,pm25
1.0,2018-08-12 07:00:00,8.32769,pm25
1.0,2018-08-12 08:00:00,14.4625,pm25
1.0,2018-08-12 09:00:00,30.3935,pm25
1.0,2018-08-12 10:00:00,19.5929,pm25
1.0,2018-08-12 11:00:00,11.086,pm25
1.0,2018-08-12 12:00:00,4.959859999999999,pm25
1.0,2018-08-12 13:00:00,6.20734,pm25
1.0,2018-08-12 14:00:00,4.96591,pm25
1.0,2018-08-12 15:00:00,7.43189,pm25
1.0,2018-08-12 16:00:00,3.71173,pm25
1.0,2018-08-12 17:00:00,9.91321,pm25
1.0,2018-08-12 18:00:00,7.39003,pm25
1.0,2018-08-12 19:00:00,9.8029,pm25
1.0,2018-08-12 20:00:00,10.9814,pm25
1.0,2018-08-12 21:00:00,17.0113,pm25
1.0,2018-08-12 22:00:00,14.478,pm25
1.0,2018-08-12 23:00:00,16.8066,pm25
1.0,2018-08-13 00:00:00,19.1909,pm25
1.0,2018-08-13 01:00:00,15.605,pm25
1.0,2018-08-13 02:00:00,16.8002,pm25
1.0,2018-08-13 03:00:00,15.6074,pm25
1.0,2018-08-13 04:00:00,14.3627,pm25
1.0,2018-08-13 05:00:00,19.1575,pm25
1.0,2018-08-13 06:00:00,16.7665,pm25
1.0,2018-08-13 07:00:00,13.2001,pm25
1.0,2018-08-13 08:00:00,26.6047,pm25
1.0,2018-08-13 09:00:00,27.9742,pm25
1.0,2018-08-13 10:00:00,30.6372,pm25
1.0,2018-08-13 11:00:00,20.9629,pm25
1.0,2018-08-13 12:00:00,16.0856,pm25
2.3,2018-08-13 13:00:00,17.3757,pm25
1.0,2018-08-13 14:00:00,17.3273,pm25
1.0,2018-08-13 15:00:00,18.6429,pm25
1.0,2018-08-13 16:00:00,9.97475,pm25
1.0,2018-08-13 17:00:00,16.1664,pm25
1.0,2018-08-13 18:00:00,16.0241,pm25
2.3,2018-08-13 19:00:00,18.3664,pm25
1.0,2018-08-13 20:00:00,11.0098,pm25
1.0,2018-08-13 21:00:00,10.9487,pm25
1.0,2018-08-13 22:00:00,8.475179999999998,pm25
1.0,2018-08-13 23:00:00,8.43348,pm25
1.0,2018-08-14 00:00:00,7.17963,pm25
1.0,2018-08-14 01:00:00,10.7392,pm25
1.0,2018-08-14 02:00:00,3.57146,pm25
1.0,2018-08-14 03:00:00,3.57303,pm25
1.0,2018-08-14 04:00:00,10.7207,pm25
1.0,2018-08-14 05:00:00,11.9068,pm25
1.0,2018-08-14 06:00:00,16.6806,pm25
1.0,2018-08-14 07:00:00,13.0816,pm25
1.0,2018-08-14 08:00:00,26.2716,pm25
1.0,2018-08-14 09:00:00,19.1702,pm25
1.0,2018-08-14 10:00:00,39.879,pm25
2.3,2018-08-14 11:00:00,35.0532,pm25
2.3,2018-08-14 12:00:00,33.831,pm25
2.3,2018-08-14 13:00:00,44.4526,pm25
1.0,2018-08-14 14:00:00,34.9767,pm25
2.3,2018-08-14 15:00:00,35.2149,pm25
2.3,2018-08-14 16:00:00,36.5098,pm25
1.0,2018-08-14 17:00:00,25.4393,pm25
1.0,2018-08-14 18:00:00,10.7819,pm25
1.0,2018-08-14 19:00:00,2.3839,pm25
1.0,2018-08-14 20:00:00,4.76222,pm25
1.0,2018-08-14 21:00:00,4.761429999999999,pm25
1.0,2018-08-14 22:00:00,4.74884,pm25
1.0,2018-08-14 23:00:00,9.48294,pm25
1.0,2018-08-15 00:00:00,3.559969999999999,pm25
1.0,2018-08-15 01:00:00,7.118549999999999,pm25
1.0,2018-08-15 02:00:00,5.929579999999999,pm25
1.0,2018-08-15 03:00:00,3.55479,pm25
1.0,2018-08-15 04:00:00,7.106799999999999,pm25
1.0,2018-08-15 05:00:00,5.91919,pm25
1.0,2018-08-15 06:00:00,7.09951,pm25
1.0,2018-08-15 07:00:00,20.1554,pm25
1.0,2018-08-15 08:00:00,38.1649,pm25
1.0,2018-08-15 09:00:00,46.8639,pm25
1.0,2018-08-15 10:00:00,41.0927,pm25
1.0,2018-08-15 11:00:00,41.3817,pm25
1.0,2018-08-15 12:00:00,25.599,pm25
1.0,2018-08-15 13:00:00,14.7026,pm25
3.3,2018-08-15 15:00:00,16.0998,pm25
1.0,2018-08-15 16:00:00,11.1546,pm25
1.0,2018-08-15 17:00:00,14.8352,pm25
1.0,2018-08-15 18:00:00,2.46285,pm25
1.0,2018-08-15 19:00:00,4.856679999999999,pm25
1.0,2018-08-15 20:00:00,13.2434,pm25
1.0,2018-08-15 21:00:00,13.1912,pm25
1.0,2018-08-15 22:00:00,14.335,pm25
1.0,2018-08-15 23:00:00,17.8734,pm25
1.0,2018-08-16 00:00:00,16.6581,pm25
1.0,2018-08-16 01:00:00,20.2368,pm25
1.0,2018-08-16 02:00:00,19.0269,pm25
1.0,2018-08-16 03:00:00,18.9985,pm25
1.0,2018-08-16 04:00:00,15.4191,pm25
1.0,2018-08-16 05:00:00,21.3128,pm25
1.0,2018-08-16 06:00:00,22.4743,pm25
1.0,2018-08-16 07:00:00,18.9623,pm25
1.0,2018-08-16 08:00:00,27.5716,pm25
1.0,2018-08-16 09:00:00,47.1652,pm25
1.0,2018-08-16 10:00:00,35.4181,pm25
1.0,2018-08-16 11:00:00,18.4494,pm25
1.0,2018-08-16 12:00:00,4.938209999999999,pm25
1.0,2018-08-16 13:00:00,4.960759999999999,pm25
1.0,2018-08-16 14:00:00,4.97234,pm25
1.0,2018-08-16 15:00:00,6.23707,pm25
1.0,2018-08-16 16:00:00,1.2458,pm25
1.0,2018-08-16 17:00:00,7.44967,pm25
1.0,2018-08-16 18:00:00,6.176099999999999,pm25
1.0,2018-08-16 19:00:00,3.652909999999999,pm25
1.0,2018-08-16 20:00:00,7.25135,pm25
1.0,2018-08-16 21:00:00,8.41162,pm25
1.0,2018-08-16 22:00:00,10.7818,pm25
1.0,2018-08-16 23:00:00,17.9295,pm25
1.0,2018-08-17 00:00:00,21.4746,pm25
1.0,2018-08-17 01:00:00,16.6896,pm25
1.0,2018-08-17 02:00:00,19.0439,pm25
1.0,2018-08-17 03:00:00,21.4218,pm25
1.0,2018-08-17 04:00:00,21.4245,pm25
1.0,2018-08-17 05:00:00,22.6023,pm25
1.0,2018-08-17 06:00:00,27.3174,pm25
1.0,2018-08-17 07:00:00,26.1414,pm25
1.0,2018-08-17 08:00:00,27.5732,pm25
2.2,2018-08-17 09:00:00,38.7811,pm25
1.0,2018-08-17 10:00:00,24.3255,pm25
1.0,2018-08-17 11:00:00,22.0149,pm25
1.0,2018-08-17 12:00:00,16.0133,pm25
1.0,2018-08-17 13:00:00,19.8123,pm25
1.0,2018-08-17 14:00:00,18.5832,pm25
1.0,2018-08-17 15:00:00,17.3792,pm25
1.0,2018-08-17 16:00:00,16.1489,pm25
1.0,2018-08-17 17:00:00,11.156,pm25
1.0,2018-08-17 18:00:00,6.171459999999999,pm25
1.0,2018-08-17 19:00:00,6.09628,pm25
1.0,2018-08-17 20:00:00,8.48415,pm25
1.0,2018-08-17 21:00:00,18.1587,pm25
1.0,2018-08-17 22:00:00,14.5105,pm25
1.0,2018-08-17 23:00:00,20.4751,pm25
1.0,2018-08-18 00:00:00,11.991,pm25
1.0,2018-08-18 01:00:00,15.5929,pm25
1.0,2018-08-18 02:00:00,15.5744,pm25
1.0,2018-08-18 03:00:00,16.7695,pm25
1.0,2018-08-18 04:00:00,19.1388,pm25
1.0,2018-08-18 05:00:00,21.507,pm25
1.0,2018-08-18 06:00:00,21.5,pm25
1.0,2018-08-18 07:00:00,22.7059,pm25
1.0,2018-08-18 08:00:00,16.8312,pm25
1.0,2018-08-18 09:00:00,25.4616,pm25
1.0,2018-08-18 10:00:00,17.0864,pm25
1.0,2018-08-18 11:00:00,22.1219,pm25
1.0,2018-08-18 12:00:00,19.7605,pm25
1.0,2018-08-18 13:00:00,19.7775,pm25
1.0,2018-08-18 14:00:00,13.6255,pm25
1.0,2018-08-18 15:00:00,12.4625,pm25
1.0,2018-08-18 16:00:00,7.4252,pm25
1.0,2018-08-18 17:00:00,6.16758,pm25
1.0,2018-08-18 18:00:00,7.338669999999999,pm25
1.0,2018-08-18 19:00:00,4.858419999999999,pm25
1.0,2018-08-18 20:00:00,14.514,pm25
1.0,2018-08-18 21:00:00,13.2695,pm25
1.0,2018-08-18 22:00:00,19.3241,pm25
1.0,2018-08-18 23:00:00,18.1143,pm25
1.0,2018-08-19 00:00:00,14.4658,pm25
1.0,2018-08-19 01:00:00,19.3048,pm25
1.0,2018-08-19 02:00:00,16.8703,pm25
1.0,2018-08-19 03:00:00,8.39622,pm25
1.0,2018-08-19 04:00:00,5.991279999999999,pm25
1.0,2018-08-19 05:00:00,11.9669,pm25
1.0,2018-08-19 06:00:00,9.56797,pm25
1.0,2018-08-19 07:00:00,8.36081,pm25
1.0,2018-08-19 08:00:00,15.5782,pm25
1.0,2018-08-19 09:00:00,30.2394,pm25
1.0,2018-08-19 10:00:00,20.7249,pm25
1.0,2018-08-19 11:00:00,18.3101,pm25
1.0,2018-08-19 12:00:00,15.9226,pm25
1.0,2018-08-19 13:00:00,20.7452,pm25
1.0,2018-08-19 14:00:00,17.0724,pm25
1.0,2018-08-19 15:00:00,10.9366,pm25
1.0,2018-08-19 16:00:00,9.77574,pm25
1.0,2018-08-19 17:00:00,13.505,pm25
1.0,2018-08-19 18:00:00,7.35799,pm25
1.0,2018-08-19 19:00:00,2.429279999999999,pm25
1.0,2018-08-19 20:00:00,7.247119999999999,pm25
1.0,2018-08-19 21:00:00,8.42284,pm25
1.0,2018-08-19 22:00:00,8.40164,pm25
1.0,2018-08-19 23:00:00,8.38529,pm25
1.0,2018-08-20 00:00:00,11.97,pm25
1.0,2018-08-20 01:00:00,13.171,pm25
1.0,2018-08-20 02:00:00,17.9891,pm25
1.0,2018-08-20 03:00:00,15.5412,pm25
1.0,2018-08-20 04:00:00,9.54098,pm25
1.0,2018-08-20 05:00:00,13.0989,pm25
1.0,2018-08-20 06:00:00,10.704,pm25
1.0,2018-08-20 07:00:00,8.33614,pm25
1.0,2018-08-20 08:00:00,8.43496,pm25
1.0,2018-08-20 09:00:00,19.4362,pm25
1.0,2018-08-20 10:00:00,22.0292,pm25
1.0,2018-08-20 11:00:00,7.381899999999999,pm25
1.0,2018-08-20 12:00:00,7.395039999999999,pm25
1.0,2018-08-20 13:00:00,8.65164,pm25
1.0,2018-08-20 14:00:00,6.21089,pm25
1.0,2018-08-20 15:00:00,3.737639999999999,pm25
1.0,2018-08-20 16:00:00,4.987709999999999,pm25
1.0,2018-08-20 17:00:00,4.962909999999999,pm25
1.0,2018-08-20 18:00:00,6.189309999999999,pm25
1.0,2018-08-20 19:00:00,2.44278,pm25
1.0,2018-08-20 20:00:00,2.43181,pm25
1.0,2018-08-20 21:00:00,12.1175,pm25
1.0,2018-08-20 22:00:00,4.820859999999999,pm25
1.0,2018-08-20 23:00:00,10.8104,pm25
1.0,2018-08-21 00:00:00,15.6053,pm25
1.0,2018-08-21 01:00:00,11.9914,pm25
1.0,2018-08-21 02:00:00,14.3852,pm25
1.0,2018-08-21 03:00:00,14.3585,pm25
1.0,2018-08-21 04:00:00,13.1724,pm25
1.0,2018-08-21 05:00:00,17.9294,pm25
1.0,2018-08-21 06:00:00,21.4852,pm25
1.0,2018-08-21 07:00:00,17.9105,pm25
1.0,2018-08-21 08:00:00,22.7901,pm25
1.0,2018-08-21 09:00:00,35.1202,pm25
1.0,2018-08-21 10:00:00,25.696,pm25
1.0,2018-08-21 11:00:00,20.8802,pm25
1.0,2018-08-21 12:00:00,7.37622,pm25
1.0,2018-08-21 13:00:00,6.18097,pm25
1.0,2018-08-21 14:00:00,12.417,pm25
1.0,2018-08-21 15:00:00,14.8766,pm25
1.0,2018-08-21 16:00:00,19.8713,pm25
1.0,2018-08-21 17:00:00,12.3411,pm25
2.3,2018-08-21 18:00:00,14.7212,pm25
1.0,2018-08-21 19:00:00,7.285339999999999,pm25
1.0,2018-08-21 20:00:00,15.7173,pm25
1.0,2018-08-21 21:00:00,22.9169,pm25
1.0,2018-08-21 22:00:00,15.6782,pm25
1.0,2018-08-21 23:00:00,22.8842,pm25
1.0,2018-08-22 00:00:00,15.6198,pm25
1.0,2018-08-22 01:00:00,16.833,pm25
1.0,2018-08-22 02:00:00,20.3796,pm25
1.0,2018-08-22 03:00:00,16.7901,pm25
1.0,2018-08-22 04:00:00,16.7933,pm25
1.0,2018-08-22 05:00:00,17.9853,pm25
1.0,2018-08-22 06:00:00,22.7826,pm25
1.0,2018-08-22 07:00:00,16.7981,pm25
1.0,2018-08-22 08:00:00,15.6882,pm25
1.0,2018-08-22 09:00:00,30.4066,pm25
1.0,2018-08-22 10:00:00,23.1724,pm25
1.0,2018-08-22 11:00:00,18.4444,pm25
1.0,2018-08-22 12:00:00,12.3975,pm25
1.0,2018-08-22 13:00:00,7.47489,pm25
1.0,2018-08-22 14:00:00,16.1726,pm25
1.0,2018-08-22 16:00:00,8.69604,pm25
1.0,2018-08-22 17:00:00,12.4644,pm25
1.0,2018-08-22 18:00:00,3.7149,pm25
1.0,2018-08-22 19:00:00,12.2489,pm25
1.0,2018-08-22 20:00:00,2.42343,pm25
1.0,2018-08-22 21:00:00,10.8564,pm25
1.0,2018-08-22 22:00:00,8.41394,pm25
1.0,2018-08-22 23:00:00,8.41166,pm25
1.0,2018-08-23 00:00:00,14.434,pm25
1.0,2018-08-23 01:00:00,15.5998,pm25
