"","location","city","country","utc","local","parameter","value","unit","latitude","longitude","attribution","fyh","fecha","horas","dias","meses"
"1","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-10T05:00:00.000Z","2019-09-10T00:00:00-05:00","o3",5e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-10 05:00:00,2019-09-10,5,10,9
"2","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-10T04:00:00.000Z","2019-09-09T23:00:00-05:00","o3",7e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-10 04:00:00,2019-09-10,4,10,9
"3","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-10T03:00:00.000Z","2019-09-09T22:00:00-05:00","o3",0.0046,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-10 03:00:00,2019-09-10,3,10,9
"4","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-10T02:00:00.000Z","2019-09-09T21:00:00-05:00","o3",0.0106,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-10 02:00:00,2019-09-10,2,10,9
"5","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-10T01:00:00.000Z","2019-09-09T20:00:00-05:00","o3",0.0156,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-10 01:00:00,2019-09-10,1,10,9
"6","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-10T00:00:00.000Z","2019-09-09T19:00:00-05:00","o3",0.0069,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-10 00:00:00,2019-09-10,0,10,9
"7","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T23:00:00.000Z","2019-09-09T18:00:00-05:00","o3",0.0299,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 23:00:00,2019-09-09,23,9,9
"8","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T22:00:00.000Z","2019-09-09T17:00:00-05:00","o3",0.0382,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 22:00:00,2019-09-09,22,9,9
"9","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T21:00:00.000Z","2019-09-09T16:00:00-05:00","o3",0.0426,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 21:00:00,2019-09-09,21,9,9
"10","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T20:00:00.000Z","2019-09-09T15:00:00-05:00","o3",0.0425,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 20:00:00,2019-09-09,20,9,9
"11","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T19:00:00.000Z","2019-09-09T14:00:00-05:00","o3",0.0379,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 19:00:00,2019-09-09,19,9,9
"12","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T18:00:00.000Z","2019-09-09T13:00:00-05:00","o3",0.0358,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 18:00:00,2019-09-09,18,9,9
"13","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T17:00:00.000Z","2019-09-09T12:00:00-05:00","o3",0.0341,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 17:00:00,2019-09-09,17,9,9
"14","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T16:00:00.000Z","2019-09-09T11:00:00-05:00","o3",0.0295,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 16:00:00,2019-09-09,16,9,9
"15","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T15:00:00.000Z","2019-09-09T10:00:00-05:00","o3",0.0245,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 15:00:00,2019-09-09,15,9,9
"16","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T14:00:00.000Z","2019-09-09T09:00:00-05:00","o3",0.0105,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 14:00:00,2019-09-09,14,9,9
